Product Name,Price,Details,Rating
Private Extra -Thin Feminine Napkin - Normal Size - 18 Pads,EGP 73.00,"Natural cotton feel
Absorbent core for long lasting protection
3mm thick pads with wide wings to fit body shape
Individually wrapped for discretion & hygiene
Ideal for normal to heavy flow",4.6/5
Funny Bunny - Set Of (3) Basic Bodysuit Cut - For Newborn Baby,EGP 181.00 - EGP 199.00,Feel comfortable with these products from FUNNY BUNNY for KIDS underwears and clothing. They make an excellent use of theEgyptian cotton offering a wide range of under wear products with affordableprices,4.8/5
Mesery Bundle Of Three Full Coverage Non-wired Cross Back Sportive Bra,EGP 119.99,"This item cannot be exchanged or returned
Be more comfortable with these comfort cotton Bra 3-Pack from Mesery. This versatile sports bras give you high support plus personalized comfort. Its soft pads mold to the shape of your body. . They are lightly lined wireless cup soft, stretchy and so comfy you might never want to take them off all-day .
This item cannot be exchanged or returned",3.9/5
Glassy Glass & Window Cleaner 500ml + 100ml Refill With Apple Scent,EGP 18.50,"Grocery to your Doorstep!
If you're too busy to get to the grocery store, there are many ways for the grocery store to come to you! We are offering different food bundles providing all your everyday basics essentials to be shipped right to you. We are Saving your time, stress, gas money, and exposing you to new types of foods and brands that you can't get at your local grocery store.",4.4/5
Defacto Woman Regular Fit Woven Long Sleeve Shirt,EGP 599.00,"Founded in 2003, DEFACTO is today one of the most popular fashion brands in Turkey and around the world with more than 500 stores. It is positioned as a pioneering brand of fashion throughout the Mediterranean world.",3.7/5
Raw African Grapeseed Oil - 75 Gm,EGP 105.00,"100% natural cold pressed for hair and skin, Perfect for all skin and hair types, Perfect for wide pores. This product is free of harsh chemicals like parabens, sulphates or mineral oils.",4.5/5
Aerie Slouchy Fleece Pant,EGP 400.00,"We're all about being REAL! Aerie is women's clothing, like high-waisted leggings activewear, swimsuits, bras, bralettes, women's underwear and more! From the softest fabrics to the cutest prints, we've got you covered.
Ready for the weather to cool down a bit? Us too. We're ready to kick it cozy! Check out our cold weather clothing that will keep you feeling comfy and cozy all szn long. From sweatshirts and hoodies to cozy sweaters and cardigans your closet will thank you, big time. Looking for a complete outfit? Be sure to check our comfy sweatpants & joggers (they're soft, easy, and the best to wear in OR out!).
Looking for Women's activewear? Our OFFLINE by Aerie collection is here to get you moving! Check out our collections: The Hugger, OG, Real Me, Goals & more! Each fabric was designed for movement & comfort with all the deets to back it up. Whether you're couch surfing or hitting the gym in our workout leggings, workout tops and sports bras, our collections are the best for any way you move.",4.6/5
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
