Lobbyist Name,Report,Report Type,Date Filed,Period Start Date,Period End Date,Activity,Termination,Amendment Filing,Amendment to Report Filed,Type of Expenditure Lobbyist,Total Amount Spent to Influence,Filing
Airbnb Inc,"{'file_id': 'fa7a4e99-552c-4495-8cb6-fd1321b64d8c', 'content_type': 'application/pdf', 'filename': '20170301_20170417_2110B_Airbnb_Inc_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-04-17T00:00:00.000,2017-03-01T00:00:00.000,2017-03-31T00:00:00.000,,,,,Corporation,,
Airbnb Inc.,"{'file_id': '2ead71c3-59e4-4632-bc29-747df03520db', 'content_type': 'application/pdf', 'filename': '20170401_20170515_2110B_Airbnb_Inc_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-05-15T00:00:00.000,2017-04-01T00:00:00.000,2017-04-30T00:00:00.000,,,,,Corporation,,
"Airbnb, Inc.","{'file_id': '3146827c-4ef9-4042-a7f9-473e8c7e28e3', 'content_type': 'application/pdf', 'filename': '20160601_20160714_2110B_Airbnb_Inc._Redacted.pdf'}",Disclosure Form SFEC 2110B,2016-07-14T00:00:00.000,2016-06-01T00:00:00.000,2016-06-30T00:00:00.000,True,,,2016-07-26T22:09:56.000,Corporation,12945.14,
"Airbnb, Inc.","{'file_id': 'd6eba0e1-bb1c-4724-b08c-96ccdf757857', 'content_type': 'application/pdf', 'filename': '20160617_20160617_2110A_Airbnb_Inc._Redacted.pdf'}",Registration Form SFEC 2110A,2016-06-17T00:00:00.000,2016-06-17T00:00:00.000,2016-06-17T00:00:00.000,,,,2016-07-26T21:40:06.000,Corporation,,
"Airbnb, Inc.","{'file_id': 'c61eebc4-be70-4287-95ac-d24a57ba0c0b', 'content_type': 'application/pdf', 'filename': '20160801_20160902_2110B_Airbnb_Inc._Redacted.pdf'}",Disclosure Form SFEC 2110B,2016-09-02T00:00:00.000,2016-08-01T00:00:00.000,2016-08-31T00:00:00.000,,,,2016-09-02T22:31:44.000,Corporation,,
"Airbnb, Inc.","{'file_id': 'c7709db2-b867-4a15-b0d5-d110fd926026', 'content_type': 'application/pdf', 'filename': '20171231_20180116_2110B_Airbnb, Inc_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-01-16T00:00:00.000,2017-12-01T00:00:00.000,2017-12-31T00:00:00.000,,,,,,,
"Airbnb, Inc.","{'file_id': '62907716-aba1-40de-abf6-34f86327ceac', 'content_type': 'application/pdf', 'filename': '20180331_20180413_2110B_Airbnb, Inc_Redacted.pdf'}",Disclosure Form SFEC 2110B,2018-04-13T00:00:00.000,2018-03-01T00:00:00.000,2018-03-31T00:00:00.000,,True,,,,,
"Airbnb, Inc.","{'file_id': '8e42c7ff-ac9c-430c-bb76-4bc1eab364e7', 'content_type': 'application/pdf; charset=binary', 'filename': '20170731_20170815_2110B__Airbnb_Inc._Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-08-15T00:00:00.000,2017-07-01T00:00:00.000,2017-07-31T00:00:00.000,,,,,Corporation,,
"Airbnb, Inc.","{'file_id': '7b08ffd1-5ac4-4543-bc52-471b7060a25a', 'content_type': 'application/pdf', 'filename': '20161201_20170104_2110B_Airbnb_Inc_Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-01-04T00:00:00.000,2016-12-01T00:00:00.000,2016-12-31T00:00:00.000,,,,,Corporation,,
"Airbnb, Inc.","{'file_id': 'b0d3862a-2541-4297-ab72-17187c73c1f1', 'content_type': 'application/pdf; charset=binary', 'filename': '20171016_20171016_2110B_Airbnb, Inc._Redacted.pdf'}",Disclosure Form SFEC 2110B,2017-10-16T00:00:00.000,2017-09-01T00:00:00.000,2017-09-30T00:00:00.000,,,,,,,
