State Park,Course Name,Region,County,Facility URL,Golf URL,Longitude,Latitude,Location,NYS Municipal Boundaries,New York Zip Codes,Counties,NYS Group 1b,NYS Group 2b
Alfred E. Smith/Sunken Meadow,Blue,9,Suffolk,{'url': 'https://parks.ny.gov/parks/37/'},{'url': 'https://parks.ny.gov/golf/13/details.aspx'},-73.26320632,40.90999227,"{'latitude': '40.90999227', 'longitude': '-73.26320632'}",1014,1318,2179,,
Alfred E. Smith/Sunken Meadow,Green,10,Suffolk,{'url': 'https://parks.ny.gov/parks/37/'},{'url': 'https://parks.ny.gov/golf/13/details.aspx'},-73.26320632,40.90999227,"{'latitude': '40.90999227', 'longitude': '-73.26320632'}",1014,1318,2179,,
Alfred E. Smith/Sunken Meadow,Red,11,Suffolk,{'url': 'https://parks.ny.gov/parks/37/'},{'url': 'https://parks.ny.gov/golf/13/details.aspx'},-73.26320632,40.90999227,"{'latitude': '40.90999227', 'longitude': '-73.26320632'}",1014,1318,2179,,
Battle Island,,5,Oswego,{'url': 'https://parks.ny.gov/parks/44/details.aspx'},{'url': 'https://parks.ny.gov/golf/5/details.aspx'},-76.43604418,43.36167093,"{'latitude': '43.36167093', 'longitude': '-76.43604418'}",247,623,2135,,
Beaver Island,,1,Erie,{'url': 'https://parks.ny.gov/parks/56/details.aspx'},{'url': 'https://parks.ny.gov/golf/4/details.aspx'},-78.95310636,42.96576594,"{'latitude': '42.96576594', 'longitude': '-78.95310636'}",290,526,2041,,
Bethpage,Black,9,Nassau,{'url': 'https://parks.ny.gov/parks/108/details.aspx'},{'url': 'https://parks.ny.gov/golf/11/details.aspx'},-73.45680354,40.74751741,"{'latitude': '40.74751741', 'longitude': '-73.45680354'}",59,1529,2094,,
Bethpage,Blue,10,Nassau,{'url': 'https://parks.ny.gov/parks/108/details.aspx'},{'url': 'https://parks.ny.gov/golf/11/details.aspx'},-73.45680354,40.74751741,"{'latitude': '40.74751741', 'longitude': '-73.45680354'}",59,1529,2094,,
Indian Hills,,4,Steuben,,{'url': 'https://parks.ny.gov/golf/19/details.aspx'},-77.15476554,42.09305489,"{'latitude': '42.09305489', 'longitude': '-77.15476554'}",36,56,2178,,
Bethpage,Green,11,Nassau,{'url': 'https://parks.ny.gov/parks/108/details.aspx'},{'url': 'https://parks.ny.gov/golf/11/details.aspx'},-73.45680354,40.74751741,"{'latitude': '40.74751741', 'longitude': '-73.45680354'}",59,1529,2094,,
Bethpage,Red,12,Nassau,{'url': 'https://parks.ny.gov/parks/108/details.aspx'},{'url': 'https://parks.ny.gov/golf/11/details.aspx'},-73.45680354,40.74751741,"{'latitude': '40.74751741', 'longitude': '-73.45680354'}",59,1529,2094,,
Bethpage,Yellow,13,Nassau,{'url': 'https://parks.ny.gov/parks/108/details.aspx'},{'url': 'https://parks.ny.gov/golf/11/details.aspx'},-73.45680354,40.74751741,"{'latitude': '40.74751741', 'longitude': '-73.45680354'}",59,1529,2094,,
Bonavista,,4,Seneca,{'url': 'https://parks.ny.gov/parks/160/details.aspx'},{'url': 'https://parks.ny.gov/golf/10/details.aspx'},-76.86772498,42.67319422,"{'latitude': '42.67319422', 'longitude': '-76.86772498'}",579,363,2144,,
Chenango Valley,,5,Broome,{'url': 'https://parks.ny.gov/parks/41/details.aspx'},{'url': 'https://parks.ny.gov/golf/20/details.aspx'},-75.83623684,42.21554025,"{'latitude': '42.21554025', 'longitude': '-75.83623684'}",945,378,2033,,194
Fair Haven Beach,,4,Cayuga,{'url': 'https://parks.ny.gov/parks/12/details.aspx'},{'url': 'https://parks.ny.gov/golf/9/details.aspx'},-76.69131068,43.34170812,"{'latitude': '43.34170812', 'longitude': '-76.69131068'}",68,693,618,,220
Green Lakes,,5,Onondaga,{'url': 'https://parks.ny.gov/parks/172/details.aspx'},{'url': 'https://parks.ny.gov/golf/14/details.aspx'},-75.9818848,43.04697832,"{'latitude': '43.04697832', 'longitude': '-75.9818848'}",696,621,2132,,848
James Baird,,7,Dutchess,{'url': 'https://parks.ny.gov/parks/101/details.aspx'},{'url': 'https://parks.ny.gov/golf/1/details.aspx'},-73.79543181,41.6880051,"{'latitude': '41.6880051', 'longitude': '-73.79543181'}",594,1003,2040,367,
Mark Twain,,4,Chemung,{'url': 'https://parks.ny.gov/parks/138/details.aspx'},{'url': 'https://parks.ny.gov/golf/3/details.aspx'},-76.83569091,42.21166069,"{'latitude': '42.21166069', 'longitude': '-76.83569091'}",475,1783,2036,,
Montauk Downs,,9,Suffolk,{'url': 'https://parks.ny.gov/parks/29/details.aspx'},{'url': 'https://parks.ny.gov/golf/8/details.aspx'},-71.9385278,41.04928768,"{'latitude': '41.04928768', 'longitude': '-71.9385278'}",1021,1637,2179,,
Ogden & Ruth Livingston Mills,,7,Dutchess,{'url': 'https://parks.ny.gov/parks/33/details.aspx'},{'url': 'https://parks.ny.gov/golf/21/details.aspx'},-73.93480595,41.8530054,"{'latitude': '41.8530054', 'longitude': '-73.93480595'}",595,1011,2040,369,
Robert Moses,Pitch/Putt,9,Suffolk,{'url': 'https://parks.ny.gov/parks/7/details.aspx'},{'url': 'https://parks.ny.gov/golf/12/details.aspx'},-73.26514244,40.62351775,"{'latitude': '40.62351775', 'longitude': '-73.26514244'}",1023,1033,,,
Rockland Lake,,8,Rockland,{'url': 'https://parks.ny.gov/parks/81/details.aspx'},{'url': 'https://parks.ny.gov/golf/6/details.aspx'},-73.92191924,41.13621068,"{'latitude': '41.13621068', 'longitude': '-73.92191924'}",532,1655,628,872,
Rockland Lake,Executive,9,Rockland,{'url': 'https://parks.ny.gov/parks/81/details.aspx'},{'url': 'https://parks.ny.gov/golf/6/details.aspx'},-73.92191924,41.13621068,"{'latitude': '41.13621068', 'longitude': '-73.92191924'}",532,1655,628,872,
Sag Harbor Golf Course,,9,Suffolk,,{'url': 'https://parks.ny.gov/golf/17/details.aspx'},-72.26056664,40.99702452,"{'latitude': '40.99702452', 'longitude': '-72.26056664'}",1021,1537,2179,,
Saratoga Spa,,11,Saratoga,{'url': 'https://parks.ny.gov/parks/112/details.aspx'},{'url': 'https://parks.ny.gov/golf/15/details.aspx'},-73.80393559,43.05089145,"{'latitude': '43.05089145', 'longitude': '-73.80393559'}",994,147,2141,,
Saratoga Spa,Executive,12,Saratoga,{'url': 'https://parks.ny.gov/parks/112/details.aspx'},{'url': 'https://parks.ny.gov/golf/15/details.aspx'},-73.80393559,43.05089145,"{'latitude': '43.05089145', 'longitude': '-73.80393559'}",994,147,2141,,
St. Lawrence,,10,St. Lawrence,{'url': 'https://parks.ny.gov/parks/70/details.aspx'},{'url': 'https://parks.ny.gov/golf/2/details.aspx'},-75.57656984,44.62983634,"{'latitude': '44.62983634', 'longitude': '-75.57656984'}",317,1591,2140,,
Wellesley Island,,10,Jefferson,{'url': 'https://parks.ny.gov/parks/52/details.aspx'},{'url': 'https://parks.ny.gov/golf/7/details.aspx'},-76.01544821,44.329238,"{'latitude': '44.329238', 'longitude': '-76.01544821'}",847,1523,2089,,491
