DEPARTMENT,NAME,JOB TITLE
BOARD/COMMISSION MEMBER,"ABDUL-ALBRIM, ZAID",
BOARD/COMMISSION MEMBER,"ABERCROMBIE, KARIN MOEN",
BOARD/COMMISSION MEMBER,"ABUAGEL, SAMEH S",
BOARD/COMMISSION MEMBER,"ABUKHDEIR, HANADI",
BOARD/COMMISSION MEMBER,"ACKERMAN, LISA Z",
BOARD/COMMISSION MEMBER,"ADAMS, CAROL L",
BUSINESS AFFAIRS,"ADELIZZI,  JOY A",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"AGNIHOTRI, SANHITA",
BOARD/COMMISSION MEMBER,"AHLGRIM, JOHN",
FINANCE,"AHMAD,  AMER",CITY COMPTROLLER
AVIATION,"AHMED,  NAFEES",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"AIGNER-TREWERGY, SAMANTHA",
BOARD/COMMISSION MEMBER,"AISTROPE, MARK F",
BOARD/COMMISSION MEMBER,"AKHRAS, RAMI",
BOARD/COMMISSION MEMBER,"AKINTONDE, JIMMY",
BOARD/COMMISSION MEMBER,"AKLICS, RAMI",
HUMAN RESOURCES,"ALANIS,  JESUS",PROJECT MANAGER
DISABILITIES,"ALBRITTON,  JOSEPH A",DEPUTY COMMISSIONER
MAYOR'S OFFICE,"ALDER,  GERALD H",ASST TO THE MAYOR
BOARD/COMMISSION MEMBER,"ALEJANDRO GARCIA, JOSE",
BOARD/COMMISSION MEMBER,"ALEMIS, ALEX",
POLICE,"ALEXANDER,  DANA",DEPUTY CHIEF
MAYOR'S OFFICE,"ALEXANDER,  TOM",DEPUTY PRESS SECRETARY
BOARD/COMMISSION MEMBER,"ALF, KAFEESHMA",
BOARD/COMMISSION MEMBER,"ALFONSETTI, ERNESTINE P",
MAYOR'S OFFICE,"ALFONSO,  MATTHEW N",SCHEDULER
ANIMAL CONTRL,"ALFRED,  SANDRA L",DEPUTY DIR
FAMILY & SUPPORT,"ALICEA-REYES,  CARMEN E",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"ALLEN, DANIEL",
BOARD/COMMISSION MEMBER,"ALLEN, ERIKA",
BOARD/COMMISSION MEMBER,"ALLEN, HAVEN",
BOARD/COMMISSION MEMBER,"ALOHRAS, RAMI",
BOARD/COMMISSION MEMBER,"ALPHONSE, PHILIP",
BOARD/COMMISSION MEMBER,"ALVAREZ, DANIEL",
BOARD/COMMISSION MEMBER,"AMANA BURNECKER HART, SONAT",
BOARD/COMMISSION MEMBER,"AMARO, LOUIS",
FIRE,"AMBOS,  ROBERT W",ASST DEPUTY CHIEF PARAMEDIC
BOARD/COMMISSION MEMBER,"ANDERSEN, WALLACE SOREN",
BOARD/COMMISSION MEMBER,"ANDERSON, ANTHONY",
BOARD/COMMISSION MEMBER,"ANDERSON, LATONYA",
AVIATION,"ANDOLINO,  ROSEMARIE S",COMMISSIONER OF AVIATION
BOARD/COMMISSION MEMBER,"ANDRADE, NANCY C",
POLICE,"ANDREWS,  CONSTANTINE G",DEPUTY CHIEF
PROCUREMENT,"ANDREWS,  DESHANNON E",DEPUTY PROCUREMENT OFFICER
POLICE,"ANGARONE,  KENNETH",COMMANDER
BOARD/COMMISSION MEMBER,"ANGELASTEL, JOSEPH",
MAYOR'S OFFICE,"ANGELSON,  MARK A",ADMINISTRATIVE SECRETARY
STREETS & SAN,"AQUINO,  WILLIAM",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"ARAGON, JASON",
BOARD/COMMISSION MEMBER,"ARCE, DANIEL",
POLICE,"ARGENBRIGHT,  THOMAS W",COMMANDER
POLICE,"ARJMAND,  SUSAN B",DEPUTY DIR
BOARD/COMMISSION MEMBER,"ARMSTRONG, BENAMIN ""BJ""",
BOARD/COMMISSION MEMBER,"ARROYO REYES, DIANE",
BOARD/COMMISSION MEMBER,"ARUGUETE, JOY",
BOARD/COMMISSION MEMBER,"ATTIALI, DARLENE",
STREETS & SAN,"AUSTIN,  LEMUEL",WARD SUPERINTENDENT
LAW,"AVENDANO,  NAOMI A",DEPUTY CORPORATION COUNSEL
BOARD/COMMISSION MEMBER,"AVILA, ALFREDO",
MAYOR'S OFFICE,"AYAKHAN,  KEVIN",ADMINISTRATIVE SECRETARY
BOARD/COMMISSION MEMBER,"AYALA, EDWIN E",
REVENUE,"AZIMI,  JULIET S",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"BAFFES, THOMAS",
HUMAN RELATIONS,"BALES,  SARA JOAN",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"BALL, BOBBI",
POLICE,"BALL,  JOHN E",COMMANDER
BOARD/COMMISSION MEMBER,"BALL, ROBBI",
BOARD/COMMISSION MEMBER,"BANERJI, ANITA",
BOARD/COMMISSION MEMBER,"BANKS, OLIVER",
BUSINESS AFFAIRS,"BAPAT,  RUPAL D",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"BARBIERS, D.V.M., ROBYN",
BOARD/COMMISSION MEMBER,"BARES, KIMBERLY",
STREETS & SAN,"BARNES,  PATRIC L",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"BARRERA, ALEIDA",
BOARD/COMMISSION MEMBER,"BARRERA, JOSE",
BOARD/COMMISSION MEMBER,"BARRETT, MARYSUE",
BOARD/COMMISSION MEMBER,"BARRETT, TONEY",
BOARD/COMMISSION MEMBER,"BARRON, JOSHUA",
BOARD/COMMISSION MEMBER,"BARTLETT, JOHN",
STREETS & SAN,"BASIL,  GREGORY J",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"BATES-BROWN, YASMIN T",
COMMUNITY DEVELOPMENT,"BATES,  KAREN A",DIR OF NEWS AFFAIRS
FIRE,"BATES,  STEVEN C",DEPUTY DISTRICT CHIEF
BOARD/COMMISSION MEMBER,"BATHURST, CYNTHIA L",
BOARD/COMMISSION MEMBER,"BEARD, STEPHEN W",
BOARD/COMMISSION MEMBER,"BEATO, BRENNA",
HEALTH,"BEAUDET,  MATTHEW W",FIRST DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"BELL, CHRISTINE",
BOARD/COMMISSION MEMBER,"BELL, JAMES A",
HEALTH,"BELTRAN,  ANTONIO",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"BENITEZ, CHRISTINA",
BOARD/COMMISSION MEMBER,"BENNETT, DEBORAH",
BOARD/COMMISSION MEMBER,"BERELIONI, PAYOM",
BOARD/COMMISSION MEMBER,"BERGER, DAVID",
MAYOR'S OFFICE,"BERLINER,  SETH",ASST ADMINISTRATIVE SECRETARY III
BOARD OF ETHICS,"BERLIN,  STEVEN",EXECUTIVE DIR - BOARD OF ETHICS
BUDGET & MGMT,"BERMAN,  BRENNA M",DEPUTY BUDGET DIR
BOARD/COMMISSION MEMBER,"BEUHEMA, LIALA",
BOARD/COMMISSION MEMBER,"BIALEK, PETER",
PUBLIC LIBRARY,"BIEL,  KATHY R",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"BILAL, ALIA J",
BOARD/COMMISSION MEMBER,"BLAKE OD, MARCIA E",
BOARD/COMMISSION MEMBER,"BLANCHARD, ANITA",
BOARD/COMMISSION MEMBER,"BLITZ, DAVID",
BOARD/COMMISSION MEMBER,"BLOCK, JODI",
BOARD/COMMISSION MEMBER,"BOATRIGHT, CIERE",
BOARD/COMMISSION MEMBER,"BOBA, BARBARA J",
BOARD/COMMISSION MEMBER,"BOBINS, NORMAN R",
BOARD/COMMISSION MEMBER,"BOCHENEK, MARYANNA",
POLICE,"BOEHMER,  KATHLEEN",COMMANDER
BOARD/COMMISSION MEMBER,"BOGOVICH, MATTHEW",
AVIATION,"BOLAND,  MICHAEL D",FIRST DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"BOLSEN, BARBARA",
BOARD/COMMISSION MEMBER,"BOND JR, LESLIE",
