Comment,Anonymized Author,Published At,Likes,Reply Count
Today i found this song and i was shocked that this song is 6 years old 😂😂😂,000e3aaedc78a4af8b6ace6f2aae6f12,2023-12-07T09:52:50Z,1,0
Coollllll😂😂,8cc07135a663e1f7154e970481eaf617,2023-12-07T09:37:42Z,2,1
I love this song forever ♾️💗😊😊,4af735aed3ccdd778b244470d82b1376,2023-12-07T09:31:33Z,1,0
Super cool,0fd67c9a9dbf40684bb575538f671b5a,2023-12-07T09:28:24Z,1,0
"7 December  , 2023",65f06c59e32c55686e01185c012284d0,2023-12-07T09:16:16Z,0,0
❤❤,85e7f2a6561cd7a6ce5e80ce5bf65cdc,2023-12-07T09:15:16Z,0,0
7 December 2023❤,912c1210b7692dc8daa7271e57490b8a,2023-12-07T09:05:32Z,0,0
anyone again 2023?,91a9ddf322e9cfb6dda802a130b13130,2023-12-07T08:48:27Z,1,1
7 december anyone 2024?,91a9ddf322e9cfb6dda802a130b13130,2023-12-07T08:48:07Z,0,0
beautiful song,f14c73c28d2915d42080c466d1ce2769,2023-12-07T08:44:35Z,0,0
I’m leaving this comment so when ever someone likes it I will get reminded about this song,362d438d5e3fe785eb02ba2ae55ed4aa,2023-12-07T08:21:45Z,1,0
"https://youtu.be/eWklPYaTFTI?si=i6UdCTZBn08cBvoH
https://youtu.be/eWklPYaTFTI?si=i6UdCTZBn08cBvoH",87ec605011e62211797657c08ab33d89,2023-12-07T08:12:59Z,1,0
"Master piece😁
Isn't it?🎉",ef34771e38a9fa0c5bff54e4056909d8,2023-12-07T07:49:43Z,0,0
Me,230842e36a9ca1bf53cd043cd33b929b,2023-12-07T07:21:16Z,0,0
https://youtube.com/@Quranrecitation132?feature=shared,dbf73108b854f32e189110e873fa3f3d,2023-12-07T07:14:13Z,1,2
Timeless 🎶,12b6d6b7e75426438063a14872062cd9,2023-12-07T07:08:54Z,0,0
"It's December 2023, Let's see how many legends are still listening to this masterpiece of song after 7 years ❤",a92d8c7320d96ae38d1c86e7c99b080e,2023-12-07T07:08:10Z,0,0
la amo  me gusta el rrismo y la letra,95f9e1c48a0c00171184f2ee5d15d401,2023-12-07T06:41:37Z,0,0
❤❤,a742fd26b81a6282c21732b6ab2d7ed7,2023-12-07T06:20:00Z,0,0
Top demis ..essa música-!!😎❤,0527ba6866b32bd0a5834fc8ccf13995,2023-12-07T06:15:35Z,0,0
🥲,b2526049091639ad229aa3de5640edc4,2023-12-07T06:14:40Z,0,0
Me 0:55,d1bb5c4dabd7e5603510e9317b6f801a,2023-12-07T06:14:25Z,0,0
Daily lisending this song love from India 🇮🇳,59dae8a21d02e10cd67c55527fe0d13e,2023-12-07T06:03:27Z,1,0
Legend listening 2023 7 dec,25d6e9d28d8d9de4bfb049c6409c011f,2023-12-07T05:56:03Z,0,0
Here December. 7th 2023🎉🎉🎉🎉🥳,c4ea68455aae9f98d4ef28839f84ea6e,2023-12-07T05:45:02Z,1,0
아직 듣는 한국인 있나?,4d76bdf3ccfe3603beba2f517b8fb616,2023-12-07T05:13:44Z,0,0
The Lyrics Are Hitting Me Right In The Feels.,59ea17c618b87b5fab9bd6446188a593,2023-12-07T04:35:00Z,0,0
Family Day 2023,450432d501919e9e52a8c12a7e895673,2023-12-07T04:26:00Z,0,0
Temazo ❤️❤️❤️,4180c17b2c8720b8fc0958eb2aac50e7,2023-12-07T04:23:25Z,2,0
Great Video thank you Ed.,e047356ace24acfbc95763081a6f304d,2023-12-07T03:53:25Z,0,0
"To the person who said a comment that blew up from last year how many legends are here in December 6, 2023 so here I am Jhaber1609 nice how you said the date like that’s where I am now",4774036bd0b599db4a4d7bbac5da30b2,2023-12-07T01:57:31Z,1,0
Yow! 6.1B 6 years ago? So it's like 1B per year???? Dang 🔥,2071b2c143ab9759a24d30c79a0fe7b3,2023-12-07T01:20:33Z,2,0
bro 6 billion views that’s crazy,feae44b49488c59d863a6e8c773b05ee,2023-12-07T00:44:17Z,1,0
...,8d5afcec520d34f1b03bcaf6c371fff2,2023-12-07T00:28:29Z,2,0
The video is funny but  the lyrics and the images do not match. In my opinion,e1697161a2482e7fcacd92dddc264d5e,2023-12-06T23:58:45Z,0,0
Bro 6b of views😮,a2a7d74ba4939e30fcbeac643e11adf8,2023-12-06T23:17:36Z,0,0
Pasen x hello Kitty de Malucci la más dura del Perú,d2f51b73feb4634ab1b476971987718d,2023-12-06T22:38:46Z,2,0
Nunca pasará de moda ❤️🥷🏾,eb5f30bb8ac199482f1661e382dea4e6,2023-12-06T22:35:55Z,0,0
loud le son,0c254e64e5660cd7ad056cdacd65c80d,2023-12-06T22:17:17Z,0,0
"06. Dec. 2023
A legend was here",b129d8b8cd03d928b72ff3c1efe21d89,2023-12-06T21:53:59Z,0,0
Wow 6years and I'm still vibing to the song,57a27602ff72aa9adc093334cae9c011,2023-12-06T21:17:07Z,0,0
https://youtube.com/shorts/1P0INdJPlXw?si=1X3-MWt1HvFNQWKj,46f63d2ea05373f445ce6c54a9ddc377,2023-12-06T21:14:21Z,0,0
