Country,Code,Year,Child Labor in Urban Britain,"Child Labor UK boys, historic",Entity,Year,Child Labor Long 1958
United Kingdom,GBR,1851,19.9,36.6,Both sexes,1890,1.165.964.912
United Kingdom,GBR,1861,20.2,36.9,Both sexes,1900,1.202.615.385
United Kingdom,GBR,1871,20.5,32.1,Both sexes,1910,6.555.555.556
United Kingdom,GBR,1881,15.1,22.9,Both sexes,1920,4.365.116.279
United Kingdom,GBR,1891,16.3,26,Both sexes,1930,2.462.886.598
United Kingdom,GBR,1901,12,21.9,"Both sexes, rural areas",1890,1.327.948.718
United Kingdom,GBR,1911,10.4,18.3,"Both sexes, rural areas",1900,1.344.651.163
0,0,0,0,0,"Both sexes, rural areas",1910,9.2
0,0,0,0,0,"Both sexes, rural areas",1920,6.95
0,0,0,0,0,"Both sexes, rural areas",1930,4.532.653.061
0,0,0,0,0,"Both sexes, urban areas",1890,8.15
0,0,0,0,0,"Both sexes, urban areas",1900,9.25
0,0,0,0,0,"Both sexes, urban areas",1910,2.4
0,0,0,0,0,"Both sexes, urban areas",1920,1.1
0,0,0,0,0,"Both sexes, urban areas",1930,0.35
0,0,0,0,0,Boys,1890,1.771.034.483
0,0,0,0,0,Boys,1900,1.776.666.667
0,0,0,0,0,Boys,1910,9.172.222.222
0,0,0,0,0,Boys,1920,5.874.418.605
0,0,0,0,0,Boys,1930,3.357.142.857
0,0,0,0,0,"Boys, rural areas",1890,20.1
0,0,0,0,0,"Boys, rural areas",1900,19.6
0,0,0,0,0,"Boys, rural areas",1910,13.1
0,0,0,0,0,"Boys, rural areas",1920,9.1
0,0,0,0,0,"Boys, rural areas",1930,6.1
0,0,0,0,0,"Boys, urban areas",1890,12.4
0,0,0,0,0,"Boys, urban areas",1900,14.1
0,0,0,0,0,"Boys, urban areas",1910,3
0,0,0,0,0,"Boys, urban areas",1920,1.8
0,0,0,0,0,"Boys, urban areas",1930,0.5
0,0,0,0,0,Girls,1890,5.392.857.143
0,0,0,0,0,Girls,1900,610.625
0,0,0,0,0,Girls,1910,3.938.888.889
0,0,0,0,0,Girls,1920,2.855.813.953
0,0,0,0,0,Girls,1930,1.55
0,0,0,0,0,"Girls, rural areas",1890,6.1
0,0,0,0,0,"Girls, rural areas",1900,7
0,0,0,0,0,"Girls, rural areas",1910,5.3
0,0,0,0,0,"Girls, rural areas",1920,4.8
0,0,0,0,0,"Girls, rural areas",1930,2.9
0,0,0,0,0,"Girls, urban areas",1890,3.9
0,0,0,0,0,"Girls, urban areas",1900,4.4
0,0,0,0,0,"Girls, urban areas",1910,1.8
0,0,0,0,0,"Girls, urban areas",1920,0.4
0,0,0,0,0,"Girls, urban areas",1930,0.2
