"id","createdAt","text","retweetCount","replyCount","likeCount","quoteCount","bookmarkCount"
"1750522838283649232","Thu Jan 25 14:15:42 +0000 2024","Had an amazing time with @Binance, creating the next level of fan-experience.

Thanks to my ForeverCR7 NFT collection, I got to meet and train with the holders of my rarest NFTs.

Watch the full video: https://t.co/HSQFUHvrIl https://t.co/x8jzkJiPK1","5657","3676","50466","141","186"
"1740707339588825311","Fri Dec 29 12:12:25 +0000 2023","With the best fireworks show in the world - mentioned in the Guinness Book of Records – Madeira is known for entering the new year with a bang. Are you ready to have the time of your life? https://t.co/bMgGKzmZLM","9365","8766","99551","310","364"
"1736824246070890705","Mon Dec 18 19:02:23 +0000 2023","Great memory with my SIXPAD family from the Core Belt event in Japan last July. @SIXPAD_official #SIXPAD #JAPAN #corebelt #trainning #EMS #CR7 https://t.co/cmwmJTekNh","11088","6263","130247","374","753"
"1736404837649023475","Sun Dec 17 15:15:48 +0000 2023","Grateful to be honored as the most searched athlete in @google history. Check out the film at https://t.co/0PjDiMYV3I. 🎯 #YearInSearch https://t.co/uV65FyQ9XE","21526","7213","194912","1372","1186"
"1732473555923644630","Wed Dec 06 18:54:18 +0000 2023","Funchal is the capital and tourist centre of Madeira. A vibrant city, full of tradition and history, that expands from the Atlantic shore to the green and imponent mountains. Can you imagine yourself exploring a city like this? https://t.co/rSH06usa6S","14517","6903","165795","404","766"
"1729477584977600615","Tue Nov 28 12:29:23 +0000 2023","Cooking something up with @binance","15009","10188","226493","776","724"
"1729250125048840344","Mon Nov 27 21:25:32 +0000 2023","Happy that we qualified 1st in our group and to have achieved 20 games unbeaten. 
Great Teamwork💪🏼
@AlNassrFC_EN 💛💙 https://t.co/bnNpEGodVq","34102","11361","453283","800","684"
"1728182663113273501","Fri Nov 24 22:43:49 +0000 2023","Happy weekend everyone! 😀💙💛 https://t.co/uq4H7r95FS","72832","17946","748433","2326","1640"
"1726373086755184759","Sun Nov 19 22:53:13 +0000 2023","Apuramento histórico, 100% vitorioso! 
Parabéns Portugal 💪🏽🇵🇹
#vesteabandeira https://t.co/SmmU9AUpt2","26577","9274","407454","579","635"
"1725281152015937554","Thu Nov 16 22:34:15 +0000 2023","9 vitórias seguidas!
Seguimos focados!💪🏼🇵🇹
#vesteabandeira https://t.co/VJodu3mzAA","28481","10377","421988","692","543"
"1724545027878146260","Tue Nov 14 21:49:09 +0000 2023","Sentimento de alegria sempre que regresso à nossa seleção! 🇵🇹❤️
#vesteabandeira https://t.co/zpCQyw8Nie","23910","9728","388857","624","557"
"1723445758412624039","Sat Nov 11 21:01:03 +0000 2023","We keep that winning feeling ! 
Let’s continue the good work!💪🏼
@AlNassrFC_EN 💛💙 https://t.co/7x0mgrf64p","35757","12096","472028","807","663"
"1723023015468753159","Fri Nov 10 17:01:13 +0000 2023","Throwback to my visit to the @_Jacobandco  store in Riyad with my dear friend Jacob Arabo. Wearing my Jacob &amp; Co CR7 limited collection. https://t.co/d1zUztX3Ow","27760","10951","409280","892","1111"
"1720918054140301640","Sat Nov 04 21:36:51 +0000 2023","Solid win!💪🏼
We keep the pressure on!
@AlNassrFC_EN 💛💙 https://t.co/oY14WYbA5W","39069","12882","526148","752","570"
"1720556323828306320","Fri Nov 03 21:39:28 +0000 2023","🎯 https://t.co/4F0rfltyhG","24586","9298","423853","735","554"
"1719443394462646637","Tue Oct 31 19:57:05 +0000 2023","Amazing spirit from the Team!💪🏽Incredible support from our fans that helped us fight until the end!🙌🏼
@AlNassrFC_EN 💛💙 https://t.co/Py0VuZHqk6","38778","16057","501370","910","668"
"1718327895024697838","Sat Oct 28 18:04:29 +0000 2023","Another win, important we keep the momentum!
Well done team!💪🏼
@AlNassrFC_EN 💛💙 https://t.co/OjI6ak9JZg","38513","12566","546764","630","525"
"1716933930866401350","Tue Oct 24 21:45:22 +0000 2023","Special night in Riyadh - 3 wins out of 3 - and top of the group!💛💙 
#ACL 
Happy 68 years to @AlNassrFC_EN 🙌🏻 https://t.co/2HAaXd8Uo4","46529","12685","522024","1239","620"
"1716481826045256137","Mon Oct 23 15:48:52 +0000 2023","An honour to meet again with His Royal Highness Prince Mohammed bin Salman and great to be part of this panel today discussing the future of esports and the launch of the first ever #esportsworldcup that will be held in Saudi Arabia next year! https://t.co/1N4AVYn9Pv","51954","13960","473632","2196","1961"
"1715792883821801581","Sat Oct 21 18:11:16 +0000 2023","Incredible atmosphere in the stadium tonight. 
Happy with the win and we keep working hard every game.
Thank you to the fans for such a lovely tribute also💙💛 https://t.co/HHTvniolCJ","43317","11397","508630","1006","711"
"1715046657388134881","Thu Oct 19 16:46:01 +0000 2023","Thank you Team!🙌🏼
@AlNassrFC @AlNassrFC_EN 💛💙","30332","10813","371325","739","902"
"1714395045934092462","Tue Oct 17 21:36:45 +0000 2023","🌶️ 🌶️ 🌶️","19593","16112","302692","1312","3091"
"1714029475715817740","Mon Oct 16 21:24:06 +0000 2023","Mais uma vitória e um bom jogo de toda a equipa!
Primeiro lugar do grupo garantido!
Seguimos fortes!💪🏼🇵🇹#VesteABandeira https://t.co/VWoU1r9VSd","28250","9224","403207","800","373"
