index,FID,PROJECT,GEOGRAPHIC REGION,SITE TYPE,ASSESSMENT TYPE,SITE ID,DATE COLLECTED,TIME COLLECTED,LATITUDE,LONGITUDE,NORTHING,EASTING,DEPTH,URL LINK,CORAL REEF,PAVEMENT,RHODOLITH,SAND,HARD CORAL,SOFT CORAL,MACROALGAE,SPONGE,SEAGRASS,ARTIFICIAL,UNKNOWN,NOTES
0,0,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_001,1/31/2017,11:18:14,18.14177272,-65.26049206,2054149.483,-7264764.745,-29.56999969,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_001.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
1,1,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_002,1/31/2017,13:27:48,18.17255858,-65.25986648,2057756.142,-7264695.106,-28.85000038,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_002.mp4,Absent,Present,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
2,2,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_003,1/31/2017,13:18:48,18.16452229,-65.25818119,2056814.605,-7264507.5,-29.07999992,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_003.mp4,Absent,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent, 
3,3,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_004,1/31/2017,11:54:57,18.15550778,-65.25778421,2055758.51,-7264463.309,-28.07749939,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_004.mp4,Absent,Present,Absent,Absent,Present,Absent,Absent,Present,Absent,Absent,Absent,"Video blank for most of video captures 40, 41, and 42"
4,4,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_005,1/31/2017,11:11:20,18.14139594,-65.2525359,2054105.346,-7263879.069,-32.72000122,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_005.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
5,5,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_006,1/31/2017,12:42:08,18.15623382,-65.24683227,2055843.567,-7263244.144,-30.78129959,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_006.mp4,Absent,Present,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent, 
6,6,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_007,1/31/2017,12:13:49,18.15043189,-65.24499807,2055163.868,-7263039.962,-34.0019989,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_007.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
7,7,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_008,1/31/2017,10:18:56,18.12015293,-65.23386329,2051617.038,-7261800.444,-74.24720001,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_008.mp4,Absent,Present,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Camera didn't reach the seafloor in the first video take; On boundary between pavement and rhodoliths.
8,8,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_009,1/31/2017,10:29:02,18.12756251,-65.23479692,2052484.927,-7261904.375,-42.85800171,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_009.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent, 
9,9,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,Puerto Rico,AA,HD Seaviewer Drop Camera,AA2017_010,1/31/2017,13:08:01,18.16118431,-65.23693544,2056423.537,-7262142.434,-36.0807991,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_010.mp4,Absent,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent, 
