Time Stamp,English Lesson Groups,With Subtitles,Physics Course,Microbiology Needs,Elective Courses,Elective Course Satisfaction
2018/02/05 3:21:03 ÖS GMT+3,S17,1,0,0,1,3
2018/02/05 3:35:55 ÖS GMT+3,S06,0,1,0,2,3
2018/02/05 3:37:36 ÖS GMT+3,S13,1,0,1,3,3
2018/02/05 3:38:41 ÖS GMT+3,S17,0,0,0,3,3
2018/02/05 3:38:59 ÖS GMT+3,S19,1,0,1,2,3
2018/02/05 3:42:10 ÖS GMT+3,S13,1,0,0,3,3
2018/02/05 3:42:24 ÖS GMT+3,S17,1,0,1,3,4
2018/02/05 3:42:52 ÖS GMT+3,S13,1,1,1,2,3
2018/02/05 3:43:30 ÖS GMT+3,S13,1,0,0,3,3
2018/02/05 3:43:39 ÖS GMT+3,S13,1,0,0,4,2
2018/02/05 3:44:28 ÖS GMT+3,S17,1,0,0,3,3
2018/02/05 3:44:41 ÖS GMT+3,S17,1,0,1,1,3
2018/02/05 3:44:46 ÖS GMT+3,S13,1,0,0,2,4
2018/02/05 3:45:41 ÖS GMT+3,S13,1,0,0,2,3
2018/02/05 3:49:41 ÖS GMT+3,S17,1,0,0,1,3
2018/02/05 3:52:17 ÖS GMT+3,S13,0,0,0,3,3
2018/02/05 3:53:51 ÖS GMT+3,S06,1,0,1,3,4
2018/02/05 3:54:11 ÖS GMT+3,S06,1,0,0,3,4
2018/02/05 3:58:17 ÖS GMT+3,S17,1,0,1,2,3
2018/02/05 3:59:03 ÖS GMT+3,S06,1,1,1,3,3
2018/02/05 4:03:17 ÖS GMT+3,S06,1,0,1,4,2
2018/02/05 4:03:31 ÖS GMT+3,S06,1,0,1,4,2
2018/02/05 4:10:14 ÖS GMT+3,S17,0,0,0,2,4
2018/02/05 4:12:11 ÖS GMT+3,S19,1,0,1,2,2
2018/02/05 4:23:52 ÖS GMT+3,S17,1,1,0,1,3
2018/02/05 4:43:41 ÖS GMT+3,S13,1,0,0,1,2
2018/02/05 4:51:25 ÖS GMT+3,S13,1,0,0,3,3
2018/02/05 5:06:10 ÖS GMT+3,S17,1,0,0,2,3
2018/02/05 5:10:18 ÖS GMT+3,S13,1,1,1,3,4
2018/02/05 5:11:32 ÖS GMT+3,S13,1,0,1,2,4
2018/02/05 5:35:22 ÖS GMT+3,S19,1,0,0,2,4
2018/02/05 5:40:31 ÖS GMT+3,S13,1,0,0,3,3
2018/02/05 5:57:21 ÖS GMT+3,S13,1,0,0,2,3
2018/02/05 6:16:39 ÖS GMT+3,S17,1,0,0,1,2
2018/02/05 6:26:37 ÖS GMT+3,S17,1,0,0,1,2
2018/02/05 6:47:14 ÖS GMT+3,S06,1,0,0,2,2
2018/02/05 7:02:26 ÖS GMT+3,S17,1,0,1,3,3
2018/02/05 7:13:50 ÖS GMT+3,S13,1,0,0,4,3
2018/02/05 8:05:46 ÖS GMT+3,S13,1,0,0,2,2
2018/02/05 9:20:09 ÖS GMT+3,S19,1,0,0,2,4
2018/02/05 9:49:30 ÖS GMT+3,S19,1,0,0,3,2
2018/02/06 3:47:01 ÖS GMT+3,S17,1,0,0,2,3
2018/02/06 4:19:12 ÖS GMT+3,S06,1,1,1,3,3
2018/02/08 6:29:29 ÖS GMT+3,S19,1,0,0,2,2
2018/02/08 6:47:06 ÖS GMT+3,S17,1,0,0,2,3
2018/02/08 6:47:23 ÖS GMT+3,S17,1,0,1,2,4
2018/02/08 6:53:16 ÖS GMT+3,S13,1,0,0,3,3
2018/02/08 6:53:21 ÖS GMT+3,S17,1,0,1,4,4
2018/02/08 7:16:45 ÖS GMT+3,S06,1,0,0,2,1
2018/02/08 8:00:22 ÖS GMT+3,S13,1,0,0,3,3
2018/02/08 8:50:47 ÖS GMT+3,S06,0,1,0,2,4
2018/02/08 8:51:26 ÖS GMT+3,S13,1,0,0,2,4
2018/02/08 8:52:53 ÖS GMT+3,S17,0,0,1,3,4
2018/02/08 10:15:56 ÖS GMT+3,S17,1,0,0,1,4
