CCA3,Continent,Country/Territory,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,
AFG,Asia,Afghanistan,"41,128,771","38,972,230","33,753,499","28,189,672","19,542,982","10,694,796","12,486,631","10,752,971","652,230",63 km²,103%,52.0%,"1,425,887,337.00"
ALB,Europe,Albania,"2,842,321","2,866,849","2,882,481","2,913,399","3,182,021","3,295,066","2,941,651","2,324,731","28,748",99 km²,100%,4.0%,
DZA,Africa,Algeria,"44,903,225","43,451,666","39,543,154","35,856,344","30,774,621","25,518,074","18,739,378","13,795,915","2,381,741",19 km²,102%,56.0%,
ASM,Oceania,American Samoa,"44,273","46,189","51,368","54,849","58,230","47,818","32,886","27,075",199,222 km²,98%,0.0%,
AND,Europe,Andorra,"79,824","77,700","71,746","71,519","66,097","53,569","35,611","19,860",468,171 km²,101%,0.0%,
AGO,Africa,Angola,"35,588,987","33,428,485","28,127,721","23,364,185","16,394,062","11,828,638","8,330,047","6,029,700","1,246,700",29 km²,103%,45.0%,
AIA,North America,Anguilla,"15,857","15,585","14,525","13,172","11,047","8,316","6,560","6,283",91,174 km²,101%,0.0%,
ATG,North America,Antigua and Barbuda,"93,763","92,664","89,941","85,695","75,055","63,328","64,888","64,516",442,212 km²,101%,0.0%,
ARG,South America,Argentina,"45,510,318","45,036,032","43,257,065","41,100,123","37,070,774","32,637,657","28,024,803","23,842,803","2,780,400",16 km²,101%,57.0%,
ARM,Asia,Armenia,"2,780,469","2,805,608","2,878,595","2,946,293","3,168,523","3,556,539","3,135,123","2,534,377","29,743",93 km²,100%,3.0%,
ABW,North America,Aruba,"106,445","106,585","104,257","100,341","89,101","65,712","62,267","59,106",180,591 km²,100%,0.0%,
AUS,Oceania,Australia,"26,177,413","25,670,051","23,820,236","22,019,168","19,017,963","17,048,003","14,706,322","12,595,034","7,692,024",3 km²,101%,33.0%,
AUT,Europe,Austria,"8,939,617","8,907,777","8,642,421","8,362,829","8,010,428","7,678,729","7,547,561","7,465,301","83,871",107 km²,100%,11.0%,
AZE,Asia,Azerbaijan,"10,358,074","10,284,951","9,863,480","9,237,202","8,190,337","7,427,836","6,383,060","5,425,317","86,600",120 km²,100%,13.0%,
BHS,North America,Bahamas,"409,984","406,471","392,697","373,272","325,014","270,679","223,752","179,129","13,943",29 km²,101%,1.0%,
BHR,Asia,Bahrain,"1,472,233","1,477,469","1,362,142","1,213,645","711,442","517,418","362,595","222,555",765,"1,924 km²",101%,2.0%,
BGD,Asia,Bangladesh,"171,186,372","167,420,951","157,830,000","148,391,139","129,193,327","107,147,651","83,929,765","67,541,860","147,570","1,160 km²",101%,215.0%,
BRB,North America,Barbados,"281,635","280,693","278,083","274,711","264,657","258,868","253,575","241,397",430,655 km²,100%,0.0%,
BLR,Europe,Belarus,"9,534,954","9,633,740","9,700,609","9,731,427","10,256,483","10,428,525","9,817,257","9,170,786","207,600",46 km²,100%,12.0%,
BEL,Europe,Belgium,"11,655,930","11,561,717","11,248,303","10,877,947","10,264,343","9,959,560","9,828,986","9,629,376","30,528",382 km²,100%,15.0%,
BLZ,North America,Belize,"405,272","394,921","359,871","322,106","240,406","182,589","145,133","120,905","22,966",18 km²,101%,1.0%,
BEN,Africa,Benin,"13,352,864","12,643,123","10,932,783","9,445,710","6,998,023","5,133,419","3,833,939","3,023,443","112,622",119 km²,103%,17.0%,
BMU,North America,Bermuda,"64,184","64,031","63,144","63,447","61,371","57,470","53,565","52,019",54,"1,189 km²",100%,0.0%,
BTN,Asia,Bhutan,"782,455","772,506","743,274","705,516","587,207","558,442","415,257","298,894","38,394",20 km²,101%,1.0%,
BOL,South America,Bolivia,"12,224,110","11,936,162","11,090,085","10,223,270","8,592,656","7,096,194","5,736,088","4,585,693","1,098,581",11 km²,101%,15.0%,
BIH,Europe,Bosnia and Herzegovina,"3,233,526","3,318,407","3,524,324","3,811,088","4,179,350","4,494,310","4,199,820","3,815,561","51,209",63 km²,99%,4.0%,
BWA,Africa,Botswana,"2,630,296","2,546,402","2,305,171","2,091,664","1,726,985","1,341,474","938,578","592,244","582,000",5 km²,102%,3.0%,
