Q-State,Temperature,Pressure,External Observers,Entanglement Level,Probability of Outcome,Decision Superposition,Outcome
"[0.8485863818701669, 0.5290568518642389]",26.677419990919837,1001.1622493023954,0,0.5286361042569344,0.7222071710027953,0,Yes
"[0.8156770957975338, 0.5785074549141962]",19.796046836965033,1038.2619291544117,2,0.5401125394027401,0.5154437827578033,1,No
"[0.5170479647838849, 0.8559564253586993]",20.72280587676577,1014.3449952311976,2,0.3315310443753485,0.637156607409714,0,Yes
"[0.9944946589029714, 0.10478727696367944]",25.39888086837174,1047.1287273945436,1,0.0962820155082108,0.36459715338834575,0,No
"[0.9893942452777404, 0.14525504263635894]",20.626970115895556,1037.3796535324238,4,0.7059781311934695,0.14860617948657207,0,No
"[0.895336251768239, 0.4453908354126751]",23.095808594422856,1004.0125097608309,5,0.4719608356196068,0.7945087162091149,1,No
"[0.20460393212731737, 0.978844845191535]",15.819322063879934,984.5131925618076,1,0.1321695722034828,0.3746786856751795,1,Yes
"[0.9065242672319818, 0.422153707693677]",18.310925942622728,1007.8842301948685,0,0.5983241999783973,0.7265174096173628,1,No
"[0.3739145092663797, 0.9274631743417538]",27.948846760631245,1003.3265992626752,3,0.24547207702551999,0.7886858955587923,0,Yes
"[0.47015321198532095, 0.8825848159015006]",21.147849016977418,1033.9711821083683,3,0.4727499807026161,0.5206558729872254,0,No
"[0.38917310990339216, 0.9211646381229157]",18.92240591673773,1018.512105906336,7,0.2129766576939821,0.3682099786305929,0,Yes
"[0.5456005444538732, 0.8380453722153932]",21.566418971482957,1023.2133975730773,5,0.8670606270586685,0.8514978280087042,1,Yes
"[0.9159170403227521, 0.40136763103968676]",28.22561324690863,984.4185643948276,6,0.759952794846387,0.3559759022978536,0,No
"[0.7525388934520945, 0.6585478068006128]",24.950158723901797,1035.3752083744248,2,0.004961301761786774,0.35377134475482586,1,Yes
"[0.6993578127993131, 0.7147717465572915]",15.627100882283065,996.3600179497048,1,0.763112207446526,0.18469461055717995,1,No
"[0.9506945829313908, 0.3101286990668696]",27.394487111588894,1010.5705122247452,3,0.3277804690614775,0.4477386410904516,0,Yes
"[0.6040329788171468, 0.7969593217356105]",34.91507918813089,1027.3957477113543,5,0.3822200219658083,0.0538711845518538,1,Yes
"[0.36938900474733727, 0.9292748587860169]",18.25278402506392,1036.918397379532,6,0.06397696577392498,0.704617044449255,0,Yes
"[0.8931504090016136, 0.4497580982041907]",15.010368319414443,1033.1067922460002,0,0.37501377213564013,0.4309546406754674,1,Yes
"[0.29386733669474113, 0.9558462158861851]",18.663028694762247,989.233037031374,6,0.9125877739858739,0.9211087106265383,1,No
"[0.8873244246947604, 0.461145709445629]",18.044608022655574,1045.5727539033928,8,0.26665927310382287,0.9440961103162662,1,Yes
"[0.8526008082594625, 0.5225627825968008]",34.62160897040091,1035.7980257652664,1,0.9231486178634216,0.2952505085189018,1,Yes
"[0.7371267576563192, 0.6757544991689527]",29.923775522322796,1039.6034313407695,0,0.4644989842128989,0.009446672828547165,0,No
"[0.924008304616479, 0.38237240093890185]",33.06146648611667,980.9956392723467,8,0.5854361418745437,0.7463775708221728,1,Yes
"[0.5888347889155362, 0.8082534202604998]",34.089076322238576,1044.2398426120876,9,0.8174944528383518,0.9385164896802182,1,No
"[0.20284675464511703, 0.9792104953123939]",31.355827732797252,1023.868414597768,0,0.6334406147590627,0.331651718625979,1,Yes
"[0.9701324700570493, 0.2425757418642854]",26.31084025327079,1025.5905557647022,4,0.55366264698085,0.27347613887163524,0,Yes
"[0.3506772909214054, 0.9364963628503978]",22.665357602880817,997.0718696973356,6,0.5789314303205411,0.15109165537386526,1,Yes
"[0.5321524278982684, 0.8466485655110851]",27.105790972524453,1003.3447887310142,4,0.2878736599541679,0.10328937408397354,1,No
"[0.6372831617834885, 0.7706297241264705]",16.909738547573454,1002.3633216226502,3,0.4613740378340171,0.358999956097355,0,Yes
"[0.4634482182219495, 0.8861240031885492]",18.34218999023449,995.0432946342004,4,0.2975229430276328,0.0012429976550710764,0,Yes
"[0.9619402500433525, 0.2732598677935209]",23.15350379667712,1011.8994838024691,1,0.05553305301108169,0.9317786408520642,1,No
"[0.2931699857794545, 0.9560603325303663]",18.65083089395402,993.7624774185346,9,0.3417212877693512,0.815009615089196,1,Yes
"[0.9447152108235624, 0.3278920103305235]",27.761510430213978,1046.9389759447172,4,0.6209934738585553,0.3531874769100598,1,Yes
"[0.045491322719905525, 0.998964733890638]",22.32744711655699,1025.153381599936,2,0.1267613672481891,0.6600128226486254,0,Yes
"[0.24980208731317863, 0.9682969158135221]",32.29107840274469,1020.5626820368432,4,0.25845896605758867,0.6031243318363138,1,No
"[0.7226374211454722, 0.6912272835762644]",24.811776577744702,1007.3761575995128,3,0.18075119300665543,0.1547124615291262,0,Yes
"[0.946642518334032, 0.32228549840506604]",22.762088872695955,1020.1601459544797,7,0.5070883415431658,0.7841956901836641,1,No
"[0.944925750427338, 0.3272847784106863]",20.50296307349608,1021.396428600603,2,0.0076264442734554905,0.9224167665169068,0,No
"[0.9403807092590272, 0.3401236858166289]",18.692027915152913,1009.8783720054666,7,0.8079344071025437,0.879157059998939,0,Yes
"[0.996315001933203, 0.08576955708665814]",31.287208469785874,1018.2740873461555,0,0.2161665439619549,0.3597482037488816,1,No
"[0.8385783390100369, 0.5447810288025525]",31.151422929852423,1037.4565294613762,3,0.06286592811799618,0.05306504457210981,0,No
