Title,Company,Location,Easy Apply,Salary_Lower_Limit,Salary_Upper_Limit
Consultant,Infosys Limited,Bangalore,FALSE,100000,100000
Blockchain Developer Intern,Synergy Labs,Gurgaon,TRUE,200000,300000
Trainer,REGex Software Services,Remote,TRUE,96000,100000
Blockchain Developer Intern,Sarahna Industries Pvt. Ltd.,Noida,TRUE,400000,900000
Business Development Associate,LCX,Gurgaon,FALSE,500000,700000
Business Development Manager,Zuvomo,India,TRUE,500000,800000
Blockchain Developer,Waterneer Biokube Technologies,Alwar,TRUE,500000,2000000
Blockchain Developer,TeraBlock,Remote,TRUE,100000,200000
Field Interviewer,Varaha ClimateAg Private Limited,Sonipat,TRUE,800000,1000000
Full Stack Engineer,QuillHash Technologies Pvt Ltd,New Delhi,TRUE,400000,1500000
Blockchain Developer,Wits Innovation Lab,Bangalore,TRUE,400000,800000
Content Manager,CoinFantasy,New Delhi,TRUE,800000,800000
Project Manager,SAVE - NGO,Tiruppūr,TRUE,800000,1100000
Trainer,MPACT,Warangal,TRUE,500000,800000
Associate Blockchain Developer,LCX,Gurgaon,FALSE,400000,1200000
Blockchain Developer,Ably Corporate,Noida,TRUE,400000,800000
Blockchain Developer,Zorang Technologies,Gurgaon,TRUE,900000,1500000
Blockchain Developer,Hack2skill,Noida,FALSE,500000,1200000
Digital Marketing,Panaesha Capital ltd. pvt,Gurgaon,TRUE,400000,700000
Technical Recruiter,Lapits Technologies,Noida,FALSE,200000,300000
Blockchain Developer,Sweply Technology Pvt Ltd,Nashik,TRUE,1200000,1200000
Blockchain Developer,ClassHose India Pvt. Ltd.,Noida,TRUE,800000,1800000
Blockchain Developer,SDLC Corporation,Noida,TRUE,100000,100000
Blockchain Developer,Nexonweb Solution Pvt Ltd,Pune,TRUE,200000,300000
Blockchain Developer,HRsimpli,New Delhi,TRUE,96000,100000
Non Title,Cubicle Crew Pvt Ltd,Noida,FALSE,400000,900000
Consulting Manager,Sopra Steria,Pune,FALSE,500000,700000
Consultant,Tokyotechie,Bangalore,FALSE,500000,800000
Blockchain Developer Intern,Infosys Limited,Gurgaon,TRUE,500000,2000000
Social Media Manager,Synergy Labs,New Delhi,TRUE,100000,200000
Trainer,Zuvomo,Remote,TRUE,800000,1000000
Blockchain Developer Intern,REGex Software Services,Noida,TRUE,400000,1500000
Business Development Associate,Sarahna Industries Pvt. Ltd.,Gurgaon,FALSE,400000,800000
Business Development Manager,LCX,India,TRUE,800000,800000
Blockchain Developer,Zuvomo,Alwar,TRUE,800000,1100000
Blockchain Developer,Waterneer Biokube Technologies,Remote,TRUE,500000,800000
Field Interviewer,TeraBlock,Sonipat,TRUE,400000,1200000
Full Stack Engineer,Varaha ClimateAg Private Limited,New Delhi,TRUE,400000,800000
Blockchain Developer,QuillHash Technologies Pvt Ltd,Bangalore,TRUE,900000,1500000
Content Manager,Wits Innovation Lab,New Delhi,TRUE,500000,1200000
Project Manager,CoinFantasy,Tiruppūr,TRUE,400000,700000
Trainer,SAVE - NGO,Warangal,TRUE,200000,300000
Associate Blockchain Developer,MPACT,Gurgaon,FALSE,1200000,1200000
Blockchain Developer,LCX,Noida,TRUE,800000,1800000
Blockchain Developer,Ably Corporate,Gurgaon,TRUE,100000,100000
Blockchain Developer,Zorang Technologies,Noida,FALSE,200000,300000
Technical Recruiter,Panaesha Capital ltd. pvt,Noida,FALSE,96000,100000
Blockchain Developer,Lapits Technologies,Nashik,TRUE,400000,900000
Blockchain Developer,Sweply Technology Pvt Ltd,Noida,TRUE,500000,700000
Blockchain Developer,ClassHose India Pvt. Ltd.,Noida,TRUE,500000,800000
Blockchain Developer,SDLC Corporation,Pune,TRUE,500000,2000000
Blockchain Developer,Nexonweb Solution Pvt Ltd,Remote,TRUE,100000,200000
Blockchain Developer,IBM,New Delhi,TRUE,800000,1000000
Non Title,HRsimpli,Noida,FALSE,400000,1500000
Consulting Manager,Cubicle Crew Pvt Ltd,Pune,FALSE,400000,800000
Consultant,Sopra Steria,Bangalore,FALSE,800000,800000
Blockchain Developer Intern,Tokyotechie,Gurgaon,TRUE,800000,1100000
Social Media Manager,Infosys Limited,New Delhi,TRUE,500000,800000
