Country,GDP,Unemployment Rate
United States,21000,5.8
China,14000,4.0
Japan,5000,2.8
Germany,4000,3.7
India,2900,6.5
United Kingdom,2800,4.5
France,2700,8.1
Italy,2000,9.8
Brazil,1900,13.7
Canada,1700,7.5
Russia,1600,5.2
South Korea,1600,4.0
Australia,1500,5.0
Spain,1400,14.1
Mexico,1200,4.4
Indonesia,1100,4.5
Netherlands,1000,3.6
Saudi Arabia,900,6.0
Turkey,800,13.4
Switzerland,700,4.6
Argentina,600,10.2
Sweden,600,8.0
Poland,600,3.3
Belgium,500,5.6
Thailand,500,1.0
Nigeria,500,9.0
Austria,400,4.9
Norway,400,3.5
Ireland,400,5.0
Israel,400,4.0
Singapore,400,3.0
Malaysia,300,3.9
South Africa,300,32.6
Denmark,300,5.3
Colombia,300,13.0
Philippines,300,8.7
Bangladesh,300,5.3
Finland,300,7.6
Egypt,300,7.2
Vietnam,300,2.3
Portugal,300,7.0
Czech Republic,300,2.8
Romania,300,5.0
New Zealand,200,4.9
Hungary,200,3.7
Greece,200,16.3
Iraq,200,14.0
Qatar,200,0.1
Kazakhstan,200,5.0
Kuwait,200,2.1
Morocco,200,9.3
Slovakia,100,6.8
Bulgaria,100,5.5
Croatia,100,8.4
Lebanon,100,25.0
Lithuania,100,7.0
Slovenia,100,4.5
Serbia,100,9.0
Jordan,100,18.5
Uzbekistan,100,5.8
