Max_Speed,Mileage,Power,Weight,Type
220,15,150,1300,Sedan
240,12,200,1500,Sedan
180,20,100,1200,Hatchback
200,18,120,1250,Hatchback
260,10,250,1600,Sport
280,8,300,1700,Sport
160,25,80,1100,Compact
170,22,90,1150,Compact
230,14,180,1400,SUV
250,11,220,1550,SUV
210,16,140,1350,Sedan
230,13,190,1450,Sedan
175,19,110,1220,Hatchback
190,17,115,1270,Hatchback
270,9,270,1650,Sport
290,7,310,1750,Sport
150,28,70,1050,Compact
165,23,95,1180,Compact
220,15,170,1380,SUV
240,12,210,1520,SUV
205,17,130,1300,Sedan
225,14,185,1480,Sedan
180,21,105,1240,Hatchback
195,18,125,1290,Hatchback
275,10,280,1680,Sport
300,6,320,1780,Sport
155,26,85,1120,Compact
170,24,100,1190,Compact
235,13,175,1400,SUV
255,10,215,1530,SUV
215,16,145,1340,Sedan
235,13,195,1440,Sedan
185,20,115,1260,Hatchback
200,18,130,1310,Hatchback
280,9,290,1700,Sport
310,5,330,1800,Sport
160,27,75,1080,Compact
175,22,98,1170,Compact
225,14,172,1410,SUV
245,11,212,1540,SUV
210,15,142,1360,Sedan
230,12,193,1490,Sedan
170,21,110,1230,Hatchback
190,19,120,1280,Hatchback
265,10,275,1660,Sport
295,8,315,1760,Sport
150,29,73,1060,Compact
165,25,93,1130,Compact
220,15,170,1390,SUV
240,12,210,1510,SUV
