Average_Temperature,Population,Area,GDP,Continent
15.0,881549,1302,80000,North_America
20.3,2161000,606,200000,South_America
12.7,4325000,892,350000,Europe
25.4,23382000,2191,3000000,Asia
18.0,462600,135,18000,Oceania
9.3,8478000,1572,400000,Europe
22.1,12880000,2190,2100000,Asia
28.5,5569600,1105,400000,South_America
13.0,3300000,1050,370000,Europe
19.5,3967000,1287,220000,North_America
21.7,5089000,243,260000,Oceania
14.2,885000,305,75000,Africa
26.0,9231000,1484,1500000,Asia
10.5,1624000,607,95000,Europe
23.8,2211000,1570,230000,South_America
16.4,6416000,231,600000,Oceania
17.3,1034000,316,83000,Africa
27.6,12440000,1687,2800000,Asia
11.9,4972000,630,350000,Europe
24.5,810000,74,17000,Oceania
17.8,3074000,534,275000,North_America
29.0,4718000,648,320000,South_America
13.2,6437000,1180,380000,Europe
21.6,18590000,1670,2500000,Asia
19.1,2310000,174,20000,Oceania
8.7,9875000,2180,450000,Europe
24.2,9400000,2800,2700000,Asia
30.5,7021000,920,410000,South_America
15.4,2100000,630,390000,Europe
20.0,5023000,1420,240000,North_America
22.8,6212000,390,280000,Oceania
16.7,1254000,285,90000,Africa
28.2,11543000,1930,1600000,Asia
12.3,5504000,720,360000,Europe
25.1,910000,125,19000,Oceania
18.2,3712000,850,290000,North_America
26.3,5418000,1140,330000,South_America
14.9,4973000,670,420000,Europe
23.5,16240000,1470,3200000,Asia
18.8,2116000,192,23000,Oceania
9.1,7320000,1420,430000,Europe
22.5,13420000,2090,2200000,Asia
27.1,6475000,1380,370000,South_America
13.6,4850000,590,410000,Europe
19.7,4527000,1480,260000,North_America
