quartal,year,subscribers,users,step,non_subscribers
1,2015,18,68,2015-Q1,50
2,2015,22,77,2015-Q2,55
3,2015,24,82,2015-Q3,58
4,2015,28,91,2015-Q4,63
1,2016,30,96,2016-Q1,66
2,2016,36,104,2016-Q2,68
3,2016,40,113,2016-Q3,73
4,2016,48,123,2016-Q4,75
1,2017,52,131,2017-Q1,79
2,2017,59,138,2017-Q2,79
3,2017,62,150,2017-Q3,88
4,2017,71,160,2017-Q4,89
1,2018,75,170,2018-Q1,95
2,2018,83,180,2018-Q2,97
3,2018,87,191,2018-Q3,104
4,2018,96,207,2018-Q4,111
1,2019,100,217,2019-Q1,117
2,2019,108,232,2019-Q2,124
3,2019,113,248,2019-Q3,135
4,2019,124,271,2019-Q4,147
1,2020,130,286,2020-Q1,156
2,2020,138,299,2020-Q2,161
3,2020,144,320,2020-Q3,176
4,2020,155,345,2020-Q4,190
