Branche,Home-Office,mit Lohn,ohne Lohn,Kurzarbeit,arbeitslos,wie bisher
Agriculture and forestry,9,13,0,0,11,67
Mining,11,0,0,0,0,89
Manufacturing,18,5,0,16,5,56
Energy supply,54,0,0,6,6,34
Water supply and waste management,6,2,0,23,0,69
Construction,13,2,0,14,5,65
Wholesale and retail trade,18,4,0,16,4,60
Transportation and storage,11,6,2,5,7,69
Accommodation and food service,0,0,8,40,13,40
Information and communication,59,5,3,4,8,20
Finance and insurance,39,1,3,0,3,54
Real estate,46,4,0,11,6,34
"Professional, scien. & tech. activities",33,2,8,4,2,50
Administrative and support activities,37,0,0,30,0,33
Public administration,28,8,0,0,1,63
Education,48,21,3,3,2,24
Human health and social work,7,3,1,4,2,84
"Arts, entertainment and recreation",27,8,6,20,2,37
Other activities,23,6,3,11,15,42
<b>Total</b>,24,6,1,10,5,55
