Time,Time Code,"GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD] - Korea, Rep. [KOR]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD] - Kuwait [KWT]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD] - Kenya [KEN]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD] - Korea, Dem. People's Rep. [PRK]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD] - Kiribati [KIR]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD] - Kazakhstan [KAZ]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN] - Korea, Rep. [KOR]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN] - Kuwait [KWT]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN] - Kenya [KEN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN] - Korea, Dem. People's Rep. [PRK]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN] - Kiribati [KIR]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN] - Kazakhstan [KAZ]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN] - Korea, Rep. [KOR]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN] - Kuwait [KWT]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN] - Kenya [KEN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN] - Korea, Dem. People's Rep. [PRK]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN] - Kiribati [KIR]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN] - Kazakhstan [KAZ]"
2008,YR2008,1469369248901.13,256982107601.006,96338850222.8299,..,261663482.821886,242614725779.6,79.5170731707317,77.145,59.614,68.958,64.834,67.11,1.192,2.422,4.646,1.977,3.905,2.68
2009,YR2009,1452739634577.62,238589454748.885,87506739515.8357,..,250216636.695571,257880263793.01,79.9682926829268,77.442,60.365,69.732,64.892,68.39,1.149,2.34,4.514,1.951,3.889,2.55
2010,YR2010,1575029690364.29,239358270938.212,96202675495.9382,..,269969437.620304,272791206933.368,80.1170731707317,77.982,60.649,70.419,65.016,68.45,1.226,2.257,4.367,1.809,3.876,2.59
2011,YR2011,1635336002448.05,262123336778.362,105284725887.098,..,267590035.848888,294494040832.3,80.5682926829269,78.464,61.046,70.978,65.19,68.69,1.244,2.2,4.219,1.811,3.857,2.59
2012,YR2012,1702177999918.46,288342204491.459,111203385043.76,..,314590241.031569,319796289189.58,80.819512195122,78.812,61.115,71.626,65.378,69.52,1.297,2.168,4.088,1.836,3.774,2.62
2013,YR2013,1737909546523.48,289952335288.418,123488990916.32,..,370285661.76209,372719753836.891,81.2707317073171,79.164,61.389,72.319,65.588,70.62,1.187,2.153,3.952,1.86,3.689,2.64
2014,YR2014,1801276221059.28,274603896124.765,137250578495.32,..,429534826.863916,383081425056.159,81.7219512195122,79.445,61.816,72.942,65.815,71.44,1.205,2.156,3.844,1.885,3.599,2.73
2015,YR2015,1939637111593.39,192810406905.347,156100504955.454,..,524579333.301355,380991411579.698,82.0243902439024,79.562,61.892,72.784,66.059,71.97,1.239,2.16,3.8,1.884,3.53,2.74
2016,YR2016,2034377961086.03,187198085437.978,186000269591.319,..,489108168.513036,381362825184.343,82.2756097560976,79.701,62.163,72.805,66.332,72.41,1.172,2.157,3.724,1.87,3.471,2.77
2017,YR2017,2112226195329.95,223571323259.458,201600741005.068,..,543609392.916639,398494535267.267,82.6268292682927,79.781,62.481,72.978,66.597,72.95,1.052,2.161,3.643,1.857,3.431,2.75
2018,YR2018,2229385035793.88,250766079110.016,218150951745.001,..,559864886.454953,416689586562.376,82.6268292682927,79.722,62.676,73.031,66.855,73.15,0.977,2.165,3.58,1.845,3.41,2.84
2019,YR2019,2290263550424.36,253724768716.728,236169880650.424,..,648322894.836896,482267472114.565,83.2268292682927,79.685,62.943,73.198,67.15,73.18,0.918,2.159,3.469,1.84,3.368,2.9
2020,YR2020,2360460945631.06,203421217215.3,245940612154.615,..,582543769.667052,515912891760.811,83.4268292682927,76.92,62.675,73.274,67.266,71.37,0.837,2.14,3.397,1.818,3.333,3.13
2021,YR2021,2542822630693.5,247033888180.245,279377460969.422,..,609864880.032537,570646378721.163,83.5268292682927,78.673,61.427,73.284,67.417,70.23,0.808,2.11,3.335,1.809,3.304,3.32
2022,YR2022,2706618834366.57,273944801850.136,313980799894.04,..,663936701.596191,637245324888.957,82.6804878048781,80.264,62.055,73.578,67.661,74.44,0.778,2.092,3.296,1.793,3.271,3.05
2023,YR2023,2846252819540.61,291933384002.857,342702840808.511,..,787791415.225138,704869664044.164,..,..,..,..,..,..,..,..,..,..,..,..
