Year,Married Filing Jointly (Rates/Brackets),,Married Filing Jointly ($),Married Filing Separately (Rates/Brackets),,Married Filing Separately ($),Single Filer (Rates/Brackets),,Single Filer ($),Head of Household (Rates/Brackets),,Head of Household ($),Notes:
2021,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,Last law to change rates was the Tax Cuts and Jobs Act of 2017.
2021,12.00%,>,"$19,900 ",12.00%,>,"$9,950 ",12.00%,>,"$9,950 ",12.00%,>,"$14,200 ",
2021,22.00%,>,"$81,050 ",22.00%,>,"$40,525 ",22.00%,>,"$40,525 ",22.00%,>,"$54,200 ",
2021,24.00%,>,"$172,750 ",24.00%,>,"$86,375 ",24.00%,>,"$86,375 ",24.00%,>,"$86,350 ",
2021,32.00%,>,"$329,850 ",32.00%,>,"$164,925 ",32.00%,>,"$164,925 ",32.00%,>,"$164,900 ",
2021,35.00%,>,"$418,850 ",35.00%,>,"$209,425 ",35.00%,>,"$209,425 ",35.00%,>,"$209,400 ",
2021,37.00%,>,"$628,301 ",37.00%,>,"$314,150 ",37.00%,>,"$523,600 ",37.00%,>,"$523,600 ",
,,,,,,,,,,,,,
2020,10.00%,>,$0.00 ,10.00%,>,$0.00 ,10.00%,>,$0.00 ,10.00%,>,$0.00 ,Last law to change rates was the Tax Cuts and Jobs Act of 2017.
2020,12.00%,>,"$19,750 ",12.00%,>,"$9,875 ",12.00%,>,"$9,875 ",12.00%,>,"$14,100 ",
2020,22.00%,>,"$80,250 ",22.00%,>,"$40,125 ",22.00%,>,"$40,125 ",22.00%,>,"$53,700 ",
2020,24.00%,>,"$171,050 ",24.00%,>,"$85,525 ",24.00%,>,"$85,525 ",24.00%,>,"$85,500 ",
2020,32.00%,>,"$326,600 ",32.00%,>,"$163,300 ",32.00%,>,"$163,300 ",32.00%,>,"$163,300 ",
2020,35.00%,>,"$414,700 ",35.00%,>,"$207,350 ",35.00%,>,"$207,350 ",35.00%,>,"$207,350 ",
2020,37.00%,>,"$622,050 ",37.00%,>,"$311,025 ",37.00%,>,"$518,400 ",37.00%,>,"$518,400 ",
,,,,,,,,,,,,,
2019,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,Last law to change rates was the Tax Cuts and Jobs Act of 2017.
2019,12.00%,>,"$19,400 ",12.00%,>,"$9,700 ",12.00%,>,"$9,700 ",12.00%,>,"$13,850 ",
2019,22.00%,>,"$78,950 ",22.00%,>,"$39,475 ",22.00%,>,"$39,475 ",22.00%,>,"$52,850 ",
