Index,category,description,nagari,word
0,grass,"a grass (Eleusine indica) used for sacrificial litter (barhis), fuel, and making baskets and other products",बल्बज,balbaj
1,grass,the name of a grass,दर्भ,darbh
2,grass,a species of grass (Panicum dactylon),दूर्वा,durva
3,grass,"fodder, especially for the horse victim of the ashwamedh (horse sacrifice)",घास,ghas
4,grass,"a stalk of reed grass, often denotes fragility",इषीका,ishika
5,grass,a species of grass (Saccharum spentancum) used for making mats etc.,कश,kash
6,grass,a species of grass (Poa cynosuroides),कुश,kush
7,grass,reed,नड,nad
8,grass,reed bed,नडवला,nadvala
9,grass,bundle of grass or stalks,पिंजूल,pinjul
10,grass,some species of grass infested with insects,सैर्य,sairya
11,grass,"herb, grass, the soma plant, sacrificial straw",सस,sas
12,grass,grass,शाद,shad
13,grass,a kind of a reed (Saccharum sara) used to make arrow shafts,शर,shar
14,grass,young grass,शष्प,shashp
15,grass,"a substance that easily catches fire; either straw, or dried cotton fibre or pods",शुम्बल,shumbal
16,grass,"tuft of grass; generally, bunch or cluster",स्तम्ब,stamb
17,grass,a kind of fragrant grass,सुगन्धितेजन,sugandhitejan
18,grass,"grass, used for thatching a house or hut",तृण,trin
19,grass,a specied of grass,उलप,ulap
20,grass,the name of a plant (Andropogon muricatus),वीरण,virana
21,grass,grass on which animals feed,यवाष,yavash
22,plant,a weed,आल,aal
23,plant,the mustard plant,आबयु,abayu
24,plant,a plant that is a substitute for soma,आदार,adar
25,plant,the name of a plant,अध्याण्डा,adhyanda
26,plant,"Odina pinnata, Prosopis spicigera, or Mimosa suma",अजशृङ्गी,ajashringi
27,plant,bottle gourd (Lagenaria vulgaris); vessels were made from it,अलापु,alapu
28,plant,the name of a grain creeper,अलसाला,alasala
29,plant,myrobalan tree (Emblica officinalis),अमला,amala
30,plant,Myrobalan fruit,आमलक,amalak
31,plant,a plant (Methonica superba) used for poisoning arrows,अमूला,amula
32,plant,"an edible plant with egg-shaped fruits or leaves, similar to the lotus",आण्डीक,andik
33,plant,a plant (Achyranthes aspera) frequently used for medicines and witchcraft,अपामार्ग,apamarg
34,plant,"Odina pinnata, Prosopis spicigera, or Mimosa suma",अराटकी,arataki
35,plant,a plant (Colosanthes indica) from the wood of which the axle of a chariot was sometimes made,अरटु,aratu
36,plant,Calotropis gigantea,अर्क,ark
37,plant,"a golden climber with a hairy stem, used for healing wounds, as a febrifuge, and for inducing cows to give milk",अरुन्धती,arundhati
38,plant,Physalis flexuosa,अश्मगन्धा,ashmagandha
39,plant,a reed (Saccharum spontaneum),अश्ववार,ashvavar
40,plant,the name of a fragrant plant,औक्षगन्धि,aukshagandhi
41,plant,a plant (Blyxa octandra) that the gandharvas eat,अवका,avaka
42,plant,"some sort of a plant, probably mustard, used against the demon of a disease",बज,baj
43,plant,"hemp, an epithet of soma in the sense of intoxicating",भङ्ग,bhang
44,plant,Momordica monadelpha,बिम्ब,bimb
45,plant,"the radical fibres of the lotus, eaten as a delicacy",बिस,bis
46,plant,the castor oil plant (Ricinus communis),एराण्ड,erand
47,plant,the citron,जाम्बीर,jambir
48,plant,Terminalia arjuneya,जंगीड,jangid
49,plant,the name of a leafless shrub (Capparis aphylla) or its fruit,करीर,karir
50,plant,one of the waterplants that are supposed to grow at a funeral site,कियाम्बु,kiyambu
51,plant,white water lily (Nymphaea esculenta),कुमुद,kumud
52,plant,the name of a plant (Costus speciosus or Costus arabicus) that grew on the high peaks of the Himalayas and was held in high regard as a healing herb,कुष्ठ,kushth
53,plant,the name of an intoxicating plant,मदवती,madavati
54,plant,the name of a sweet herb; honey plant,मदुघ,madugh
55,plant,madder,मंजिष्ठा,manjishtha
56,plant,the name of a plant (Nardastachys jatamansi),नलद,nalad
57,plant,the name of a poisonous plant,नराची,narachi
58,plant,graincreeper,नीलागलसाल,nilagalasal
59,plant,"the name of a plant (Andropogon aciculatus), shankhapushpi",न्यस्तिका,nyastika
60,plant,medicinal plants,ओषधि,oshadhi
61,plant,edible millet,पाकदूर्व,pakadurv
62,plant,knots of the reed or joints of the plant,पर्वन,parvan
63,plant,the name of a medicinal plant (Clypea hernandifolia),पाटा,pata
64,plant,"name of a plant, possibly Priyangu",फलवती,phalavati
65,plant,a fragrant plant,पीला,pila
66,plant,a sweet-scented plant,प्रमन्द,pramand
67,plant,the name of a plant used as a substitute for soma,प्रप्रोथ,praproth
68,plant,young shoot,प्रसू,prasu
69,plant,"the name of a plant used as protection against abortions, possibly Hermionitis cordifolia or Glycine debilis",पृश्निपर्णी,prishniparni
70,plant,lotus blossom,पुण्डरीक,pundarik
71,plant,lotus flower,पुष्कर,pushkar
72,plant,flower,पुष्प,pushp
73,plant,Guilandina bonduc or Basella cordifolia,पूतिका,putika
74,plant,the name of a plant,पूतिरज्जु,putirajju
75,plant,the name of a plant,सहदेवी,sahadevi
76,plant,the name of a plant,सहमान,sahaman
77,plant,"mustard, mustard seed",सर्षप,sarshap
78,plant,edible roots of the lotus,शालूक,shaluk
79,plant,hemp,शण,shan
80,plant,the name of a plant,शफक,shaphak
81,plant,the name of a water plant (Blyxa octandra),शिपाल,shipal
82,plant,the name of a plant,सिलाची,silachi
83,plant,the name of a plant,सिलांजला,silanjala
84,plant,the name of a plant used for preparing the soma libation for sacrifices,सोम,som
85,plant,"the name of a tree or plant, probably the castor-oil plant",ताजदभङ्ग,tajadbhang
86,plant,the name of a plant,तौदी,taudi
87,plant,name of a plant,त्रायमान,trayaman
88,plant,cucumber,उर्वारु,urvaru
89,plant,the name of a plant from which soma was made,उशाना,ushana
90,plant,the name of a plant,विहल्ह,vihalh
91,plant,"plant, inferior to oshadhi",वीरुध,virudh
92,plant,the name of a plant used as a remedy for some disease,विषाणका,vishanaka
93,plant,creeper,व्रतति,vratati
94,tree,Ficus religiosa,अश्वत्थ,ashvatth
95,tree,a kind of jujube,बदर,badar
96,tree,the wood apple tree (Aigle marmelos),बिल्व,bilv
97,tree,wood,दारु,daru
98,tree,tree,द्रुम,drum
99,tree,the name of a tree (Pinus deodora),हरिद्रु,haridru
100,tree,name of a tree,काकम्बीर,kakambir
101,tree,the name of a tree (Zizyphus jujuba) and its fruit,कर्कन्धु,karkandhu
102,tree,the name of a tree (Gmelina arborea),कार्ष्मर्य,karshmarya
103,tree,the name of a tree (Acacia catechu) with hard wood,खदिर,khadir
104,tree,the name of a tree (Phoenix silvestris),खर्जूर,kharjur
105,tree,the name of a tree (Butea frondosa),किंशुक,kimshuk
106,tree,a species of wood used for fuel,क्रुमुक,krumuk
107,tree,exudation of trees,निर्यास,niryas
108,tree,the name of a tree (Ficus indica),न्यग्रोध,nyagrodh
109,tree,"leaf, generally, and Butea frondosa specifically",पलाश,palash
110,tree,"wing of a bird, feather of an arrow, and leaf of a tree",पर्ण,parn
111,tree,Butea frondosa,पर्ण,parn
112,tree,"the name of a tree (Careya arborea), the fruits of which were eaten by doves",पीलु,pilu
113,tree,berry,पिप्पल,pippal
114,tree,deodar,पितुदारु,pitudaru
115,tree,wave-leafed fig tree (Ficus infectoria),प्लक्ष,plaksh
116,tree,Ficus infectoria,प्रक्ष,praksh
117,tree,deodar,पूतुद्रु,putudru
118,tree,the name of a tree (Cordia myxa or batifolia),रज्जुदाल,rajjudal
119,tree,the name of a tree (Andersonia rohitaka),रोहितक,rohitak
120,tree,branch,शाखा,shakha
121,tree,silk cotton tree (Salmalia malabarica); the chariot of the bridal procession is made of its wood,शल्मलि,shalmali
122,tree,the name of a broad-leafed tree that is destructive to hair and produces intoxication,शमी,shami
123,tree,flower of the shalmali tree,शिम्बल,shimbal
124,tree,the name of a stately and beautiful tree (Dalbergia sisu),शिंशपा,shimshap
125,tree,the name of a tree,स्पन्दन,spandan
126,tree,the name of a tree (Diospyros embryopteris),स्फूर्जक,sphurjaka
127,tree,great tree with a hard wood,स्वधिति,svadhiti
128,tree,the name of a tree (Flacourtia cataphracta),तलाश,talash
129,tree,the name of a tree,ताष्टार्घ,tarshtagh
130,tree,the name of a tree (Symplocos racemosa) near which it is inauspicious to make a grave,तिलवक,tilvak
131,tree,"the name of a tree (Ficus glomerata), the wood of which ws used for making sacrificial objects like the post, ladle, amulets",उदुम्बर,udumbar
132,tree,"inner bark, bast",वकल,vakal
133,tree,bark,वल्क,valk
134,tree,twig,वल्श,valsh
135,tree,tree,वनस्पति,vanaspati
136,tree,the name of a tree (Crataeva roxburghii),वरण,varan
137,tree,branch,वया,vaya
138,tree,the name of a tree (Flacourtia sapida),विकण्कट,vikankat
139,tree,tree,वृक्ष,vriksh
140,tree,fruit of a tree,वृक्ष्य,vrkshya
141,animal,goat,अज,aj
142,animal,"horse, more specifically, a riding horse",अक्र,akr
143,animal,"draught ox, usually (but not always) castrated",अनडवाह,anadvah
144,animal,horse,अश्व,ashv
