Year,Open,High,Low,Close
2023,"25,534","26,446","25,222","26,382"
2022,"24,941","25,471","24,801","25,439"
2021,"25,860","26,044","24,900","24,941"
2020,"25,886","26,343","25,742","25,860"
2019,"26,135","26,151","25,677","25,886"
2018,"25,792","26,190","25,671","26,136"
2017,"26,443","26,521","25,460","25,792"
2023,"26,637","26,757","26,325","26,446"
2022,"26,354","26,764","26,153","26,637"
2021,"26,955","27,294","26,258","26,355"
2020,"25,641","27,176","25,407","26,955"
2019,"27,254","27,418","25,438","25,636"
2018,"27,082","27,294","26,967","27,254"
2017,"27,200","27,322","27,080","27,082"
2023,"26,866","27,284","26,590","27,200"
2022,"27,120","27,334","26,662","26,866"
2021,"27,777","27,837","26,884","27,120"
2020,"27,680","28,019","27,573","27,777"
2019,"27,552","28,419","27,537","27,680"
2018,"26,759","27,661","26,747","27,552"
2017,"26,752","26,832","26,629","26,759"
2023,"26,481","26,913","26,338","26,752"
2022,"26,443","26,614","25,924","26,481"
2021,"27,216","27,241","26,111","26,443"
2020,"26,895","27,429","26,802","27,216"
2019,"26,855","27,048","26,555","26,895"
2018,"27,027","27,255","26,819","26,855"
2017,"26,836","27,159","26,836","27,027"
2023,"26,741","27,139","26,642","26,836"
2022,"27,339","27,465","26,397","26,741"
2021,"26,959","27,449","26,587","27,339"
2020,"27,355","27,388","26,890","26,959"
2019,"26,949","27,652","26,761","27,355"
2018,"26,997","27,227","26,715","26,949"
2017,"26,451","27,082","26,451","26,998"
2023,"27,027","27,085","25,883","26,456"
2022,"27,884","27,887","26,767","27,027"
2021,"27,670","28,297","26,967","27,896"
2020,"27,565","27,837","27,403","27,670"
2019,"28,926","28,995","27,297","27,565"
2018,"28,961","29,261","28,834","28,926"
2017,"29,531","29,983","28,567","28,961"
2023,"28,891","29,677","28,776","29,531"
2022,"28,512","29,369","28,512","28,891"
2021,"28,705","28,794","28,173","28,512"
2020,"27,705","28,876","27,700","28,705"
2019,"29,348","29,482","27,705","27,705"
2018,"29,296","30,006","29,156","29,348"
2017,"29,350","29,537","29,123","29,296"
2023,"29,596","29,782","28,934","29,350"
2023,"28,289","29,856","28,152","29,596"
2022,"27,991","29,963","27,419","28,289"
2021,"27,434","28,043","27,183","27,991"
2020,"27,509","27,985","27,039","27,434"
2019,"27,798","28,003","27,489","27,509"
2018,"27,299","27,871","27,263","27,798"
2017,"28,196","28,352","27,213","27,299"
2023,"29,269","29,269","28,068","28,196"
2023,"30,403","30,405","29,123","29,269"
2022,"29,478","30,454","29,171","30,403"
2021,"30,339","30,410","29,292","29,474"
2020,"30,375","30,606","30,236","30,339"
2019,"30,442","30,691","30,312","30,375"
2018,"30,311","30,976","30,052","30,442"
2017,"29,963","30,557","29,818","30,311"
2023,"30,173","30,410","29,739","29,963"
2023,"29,111","30,488","29,089","30,173"
2023,"28,108","29,258","28,108","29,111"
2023,"27,961","28,298","27,899","28,108"
2023,"27,855","28,188","27,847","27,961"
2023,"27,982","28,103","27,801","27,855"
2023,"28,185","28,230","27,778","27,982"
2023,"28,266","28,722","27,826","28,185"
2022,"27,577","28,427","27,337","28,266"
2021,"28,089","28,463","27,573","27,573"
2020,"28,467","28,570","27,953","28,089"
