Genotype,GW,Genotype,GW,
CV1,12.1,CV2,39.9,
CV1,10.9,CV2,37,
CV1,13.7,CV2,25.2,
CV1,5.8,CV2,16.3,
CV1,13.9,CV2,44.8,
CV1,63.2,CV2,13.6,
CV1,32.7,CV2,43.8,
CV1,51.2,CV2,41.2,
CV1,38.1,CV2,35,
CV1,48.9,CV2,37.2,
CV1,60.6,CV2,37,
CV1,61.6,CV2,38,
CV1,59.8,CV2,46.6,
CV1,45.5,CV2,47.2,
CV1,47.2,CV2,36.3,
CV1,45.7,CV2,25,
CV1,31.3,CV2,45.5,
CV1,55.8,CV2,42.4,
CV1,55.4,CV2,23.1,
CV1,60.6,CV2,41.8,
CV1,58.7,CV2,21,
CV1,53.3,CV2,37.3,
CV1,50.6,CV2,45,
CV1,44.1,CV2,45,
CV1,59.7,CV2,45,
CV1,48.8,CV2,44,
CV1,57.9,CV2,38,
CV1,52.9,CV2,45,
CV1,59.6,CV2,47,
CV1,24.9,CV2,42.6,
CV1,56.8,CV2,35,
CV1,36.1,CV2,41.5,
CV1,54.3,CV2,17.5,
CV1,42.4,CV2,48.1,
CV1,64.3,CV2,31.7,
CV1,45.9,CV2,48,
CV1,51.4,CV2,47.1,
CV1,48.1,CV2,44,
CV1,42.6,CV2,45,
CV1,36.8,CV2,9.8,
CV1,47.7,CV2,44,
CV1,59.9,CV2,30.1,
CV1,67.2,CV2,19.2,
CV1,56.5,CV2,18.5,
CV1,47.5,CV2,11.3,
CV1,59.7,CV2,18.2,
CV1,45.5,CV2,37,
CV1,45.7,CV2,49.9,
CV1,17.2,CV2,45,
CV1,40.8,CV2,47,
CV1,48.7,CV2,23.9,
CV1,37.7,CV2,43.8,
CV1,59.2,CV2,29.8,
CV1,51.1,CV2,46.6,
CV1,46.1,CV2,17.8,
CV1,47.5,CV2,35,
CV1,62.3,CV2,29.6,
CV1,51.6,CV2,22.5,
CV1,41.4,CV2,30.3,
CV1,64.5,CV2,42.5,
CV1,60.5,CV2,47.4,
CV1,63.9,CV2,44,
CV1,43.5,CV2,43.2,
CV1,46.6,CV2,39.6,
CV1,58.1,CV2,31.9,
CV1,52.2,CV2,28.9,
CV1,49.7,CV2,49.7,
CV1,45,CV2,35.6,
CV1,50,CV2,25,
CV1,38.9,CV2,26.1,
CV1,62.1,CV2,35,
CV1,58,CV2,36,
CV1,29.5,CV2,39.5,
CV1,58.1,CV2,26.3,
CV1,59.4,CV2,36,
CV1,56.2,CV2,38,
CV1,41.2,CV2,39,
CV1,38.3,CV2,16.7,
CV1,44.7,CV2,37,
CV1,56.9,CV2,46.3,
CV1,46.7,CV2,39,
CV1,53.1,CV2,33,
CV1,44.9,CV2,28.4,
CV1,52.1,CV2,36,
CV1,42.3,CV2,35,
CV1,47.9,CV2,12.1,
CV1,55.1,CV2,24.9,
CV1,57.1,CV2,30.9,
CV1,53.5,CV2,34.3,
CV1,68.9,CV2,35.8,
CV1,50.2,CV2,48,
CV1,49.2,CV2,43.3,
CV1,42.2,CV2,34,
CV1,21.6,CV2,20.7,
CV1,47.9,CV2,45.6,
CV1,49.6,CV2,45.3,
CV1,54.8,CV2,7.5,
CV1,13.8,CV2,38,
CV1,24.3,CV2,20.5,
CV1,29.8,CV2,37,
CV1,64,CV2,21.4,
CV1,30.9,CV2,48.9,
CV1,57.1,CV2,38,
CV1,52.4,CV2,25.5,
CV1,38.5,CV2,17.4,
CV1,58.6,CV2,43,
CV1,53.9,CV2,26.8,
CV1,55.8,CV2,22.5,
CV1,38.8,CV2,48.9,
CV1,43.1,CV2,46.1,
CV1,47.8,CV2,42.7,
CV1,54.1,CV2,43.5,
CV1,42.6,CV2,38.7,
CV1,41.8,CV2,24.8,
CV1,24.2,CV2,42.1,
CV1,37.5,CV2,25,
CV1,36.4,CV2,39.7,
CV1,28.9,CV2,51.4,
CV1,38.4,CV2,49.3,
CV1,37.6,CV2,20.2,
CV1,40.6,CV2,40.8,
CV1,52.4,CV2,38.3,
CV1,46.8,CV2,40.2,
CV1,39.5,CV2,20.3,
CV1,27.2,CV2,15.9,
CV1,44.3,CV2,44,
CV1,45,CV2,39.3,
CV1,41.7,CV2,33.6,
CV1,51.2,CV2,17,
CV1,53.6,CV2,15.5,
CV1,42.7,CV2,46.5,
CV1,41.7,CV2,30.9,
CV1,57.9,CV2,25,
CV1,35.5,CV2,54.5,
CV1,55.5,CV2,48.4,
CV1,39.8,CV2,23.8,
CV1,55.5,CV2,36,
CV1,53.6,CV2,32.4,
CV1,58.4,CV2,44.4,
CV1,54.1,CV2,47.3,
CV1,49.2,CV2,46.6,
CV1,45.5,CV2,19.2,
CV1,64.8,CV2,43,
CV1,32.5,CV2,48.4,
CV1,62.5,CV2,22.8,
CV1,56.7,CV2,53.1,
CV1,63,CV2,31.3,
CV1,46.4,CV2,46.7,
CV1,45.6,CV2,38.6,
CV1,25.5,CV2,43,
CV1,49,CV2,30.4,
CV1,44.1,CV2,30.6,
CV1,57.6,CV2,36.4,
CV1,43.7,CV2,43.6,
CV1,62.7,CV2,28,
CV1,56.3,CV2,37.2,
CV1,53.4,CV2,35,
CV1,46.9,CV2,34.5,
CV1,58.4,CV2,38,
