_id,CT_ID,Collection,Coilection_ID,Subgenus,Species,Year,Month,Collecting_date,Country,Location,Latitude,Longitude,Elevation_minimum,Elevation_maximum,Collector,Caste
1,CT#1,NHMUK,010820547,Megabombus,Bombus montivagus,1991,Nov,17/1/1900,Thailand,Doi Suthep-Pui NP ,18.8067,98.9164,1130.00,1130.00,I. J. Kitching,Male
2,CT#2,NHMUK,010820548,Megabombus,Bombus montivagus,1991,Nov,17/11/1991,Thailand,Doi Suthep-Pui NP ,18.8067,98.9164,1130.00,1130.00,I. J. Kitching,Worker
3,CT#3,NHMUK,010820549,Megabombus,Bombus montivagus,1920,May,31/05/1920,Laos,Luang Prabang,20.0656,102.6216,NA,NA,R. V. de Salvaza,Male
4,CT#4,NHMUK,010820550,Megabombus,Bombus montivagus,1964,Feb,14/02/1964,Malaysia,Gunung Brinchang,4.5175,101.3825,2030.00,2030.00,H. T. Pagden,Queen
5,CT#5,NHMUK,010820551,Megabombus,Bombus montivagus,1935,Jun,17/06/1935,Malaysia,Cameron highlands,4.4721,101.3801,1382.00,1524.00,H. M. Pendlebury,Worker
6,CT#6,NHMUK,010820552,Megabombus,Bombus montivagus,1938,Jul,26/07/1938,Malaysia,Gunung Berembun,4.3333,101.45,1841.00,1841.00,H. M. Pendlebury,Worker
7,CT#7,NHMUK,010820553,Megabombus,Bombus montivagus,1938,Jul,19/07/1938,Malaysia,Cameron highlands,4.4721,101.3801,1585.00,1585.00,H. M. Pendlebury,Worker
8,CT#8,NHMUK,010820554,Megabombus,Bombus albopleuralis,1935,Mar,14/03/1935,India,Mishmi Hills,28.25,96,747.00,747.00,M. Steele,Queen
9,CT#9,NHMUK,010820555,Megabombus,Bombus albopleuralis,1935,Mar,28/03/1935,India,Lohit River,27.7985,95.6353,NA,NA,M. Steele,Queen
10,CT#10,NHMUK,010820556,Megabombus,Bombus albopleuralis,1938,Jul,27/7/1938,Myanmar,Nam Tamai Valley,27.7,97.9,914.00,914.00,R. Kaulback,Worker
11,CT#11,NHMUK,010820557,Megabombus,Bombus albopleuralis,1938,Jul,24/7/1938,Myanmar,Nam Tamai Valley,27.7,97.4,914.00,914.00,R. Kaulback,Worker
12,CT#12,NHMUK,010820558,Megabombus,Bombus albopleuralis,1931,Aug,7/8/1931,Myanmar,Nam Tamai ,27.7,97.9,NA,NA,Lord Cranbrook,Worker
13,CT#13,NHMUK,010820559,Megabombus,Bombus albopleuralis,1938,Jul,7/7/1938,Myanmar,Nam Tamai Valley,27.7,97.9,914.00,914.00,R. Kaulback,Worker
14,CT#14,NHMUK,010820560,Megabombus,Bombus albopleuralis,1938,Jul,7/7/1938,Myanmar,Nam Tamai Valley,27.7,97.9,914.00,914.00,R. Kaulback,Worker
15,CT#15,NHMUK,010820561,Megabombus,Bombus albopleuralis,1938,Aug,15/8/1938,Myanmar,Nam Tamai Valley,27.7,97.9,914.00,914.00,R. Kaulback,Worker
16,CT#16,NHMUK,010820562,Megabombus,Bombus albopleuralis,1938,Dec,9/12/1938,Myanmar,Nam Tamai Valley,27.8,97.8,1067.00,1067.00,R. Kaulback,Worker
17,CT#17,NHMUK,010820563,Megabombus,Bombus albopleuralis,1938,Feb,8/2/1938,Myanmar,Nam Tamai Valley,27.7,97.9,914.00,914.00,R. Kaulback,Worker
18,CT#18,NHMUK,010820564,Megabombus,Bombus albopleuralis,1938,Aug,15/8/1938,Myanmar,Nam Tamai Valley,27.7,97.4,914.00,914.00,R. Kaulback,Worker
19,CT#19,NHMUK,010820565,Megabombus,Bombus albopleuralis,1938,Dec,9/12/1938,Myanmar,Nam Tamai Valley,27.8,97.8,1067.00,1067.00,R. Kaulback,Worker
20,CT#20,NHMUK,010820566,Megabombus,Bombus  irisanensis,NA,NA,NA,Philippines,North Luzon,16.5662,121.2626,NA,NA,NA,Worker
21,CT#21,NHMUK,010820567,Megabombus,Bombus  senex,1923,Aug,NA,Indonesia,West Sumatra,-1.6967,101.2642,3048.00,3048.00,C. J. Brooks,Queen
22,CT#22,NHMUK,010820568,Megabombus,Bombus  senex,1923,Aug,NA,Indonesia,West Sumatra,-1.6967,101.2642,3048.00,3048.00,C. J. Brooks,Worker
23,CT#23,NHMUK,010820569,Megabombus,Bombus  senex,1914,May,NA,Indonesia,Korinchi peak,-1.6967,101.2642,3048.00,3048.00,H. T. Pagden,Queen
24,CT#24,NHMUK,010820570,Megabombus,Bombus  senex,1929,Dec,27/12/1929,Indonesia,Sumatra Sibayak,3.2,98.5167,1800.00,2094.00,H. T. Pagden,Worker
25,CT#25,NHMUK,010820571,Megabombus,Bombus  senex,1929,Dec,27/12/1929,Indonesia,Sumatra Sibayak,3.2,98.5167,1800.00,2094.00,H. T. Pagden,Worker
26,CT#26,NHMUK,010820572,Megabombus,Bombus  senex,1929,Dec,27/12/1929,Indonesia,Sumatra Sibayak,3.2,98.5167,1800.00,2094.00,H. T. Pagden,Male
27,CT#27,NHMUK,010820573,Megabombus,Bombus  senex,1929,Dec,27/12/1929,Indonesia,Sumatra Sibayak,3.2,98.5167,1800.00,2094.00,H. T. Pagden,Male
28,CT#28,NHMUK,010820574,Megabombus,Bombus  senex,1929,Dec,27/12/1929,Indonesia,Sumatra Sibayak,3.2,98.5167,1800.00,2094.00,H. T. Pagden,Male
29,CT#29,NHMUK,010820575,Orientalibombus,Bombus funerarius,1938,Sep,16/9/1938,Myanmar,Nam Tamai Valley,27.7,97.9,1524.00,1524.00,R. Kaulback,Worker
30,CT#30,NHMUK,010820576,Orientalibombus,Bombus funerarius,1938,Sep,16/9/1938,Myanmar,Nam Tamai Valley,27.7,97.9,1524.00,1524.00,R. Kaulback,Worker
31,CT#31,NHMUK,010820577,Orientalibombus,Bombus haemorrhoidalis,1920,May,31/5/1920,Laos,Luang Prabang,20.09,101.43,NA,NA,R. V. de Salvaza,Male
32,CT#32,NHMUK,010820578,Orientalibombus,Bombus haemorrhoidalis,1918,Jan,12/1/1918,Laos,Tintoe,NA,NA,NA,NA,R. V. de Salvaza,Male
33,CT#33,NHMUK,010820579,Orientalibombus,Bombus haemorrhoidalis,1891,Dec,NA,Myanmar,Tenasserim Kelido,18.53,97.2,NA,NA,C. T. Bingham,Male
34,CT#34,NHMUK,010820580,Orientalibombus,Bombus haemorrhoidalis,1917,Nov,26/11/1917,Laos,Xieng Khouaug ,19.4233408,102.3493073,NA,NA,R. V. de Salvaza,Male
35,CT#35,NHMUK,010820581,Orientalibombus,Bombus haemorrhoidalis,1918,Mar,14/3/1918,Laos,Luang Prabang,20.09,101.43,NA,NA,R. V. de Salvaza,Queen
36,CT#36,NHMUK,010820582,Orientalibombus,Bombus haemorrhoidalis,1892,Nov,NA,Myanmar,Dawnat Range,17.1999989,98.0658234,NA,NA,C. T. Bingham,Worker
37,CT#37,NHMUK,010820583,Orientalibombus,Bombus haemorrhoidalis,1928,Mar,24/3/1928,Thailand,Chiang Mai,18.77,98.94,NA,NA,Dr. & Mrs. J. W. McKean,Worker
38,CT#38,NHMUK,010820584,Orientalibombus,Bombus haemorrhoidalis,1934,Aug,NA,Myanmar,Taunggyi,20.7869273,97.0149992,NA,NA,Prof. F. J. Meggit,Worker
39,CT#39,NHMUK,010820585,Orientalibombus,Bombus haemorrhoidalis,1909,Jun,NA,India,"Naga Hills, Kohima",26,95,1402.00,1402.00,H. C. Tytler,Worker
40,CT#40,NHMUK,010820586,Orientalibombus,Bombus haemorrhoidalis,1930,May,12/5/1930,Myanmar,Kachin Hills,26.4736638,97.2468668,610.00,610.00,F. Kingdon Ward,Worker
41,CT#41,NHMUK,010820587,Orientalibombus,Bombus haemorrhoidalis,1890,Jul,9/7/1890,India,Margherita (Assam),27.2919823,95.6377774,NA,NA,C. T. Bingham,Worker
