state,mlsrc,quantumsrc,dlsrc
Andaman & Nicobar Island,0,0,0
Andhra Pradesh,100,67,73
Arunanchal Pradesh,8,0,0
Assam,12,30,14
Bihar,13,20,8
Chandigarh,22,0,25
Chhattisgarh,18,17,18
Dadara & Nagar Havelli,0,0,0
Daman & Diu,0,0,0
Goa,14,33,25
Gujarat,24,27,17
Haryana,23,39,18
Himachal Pradesh,17,27,15
Jammu & Kashmir,14,30,17
Jharkhand,17,36,12
Karnataka,61,100,56
Kerala,29,50,30
Lakshadweep,0,0,0
Madhya Pradesh,18,22,19
Maharashtra,42,57,41
Manipur,53,0,0
Meghalaya,24,0,9
Mizoram,10,0,0
Nagaland,10,12,0
NCT of Delhi,27,58,22
Odisha,30,43,18
Puducherry,90,0,100
Punjab,22,38,23
Rajasthan,14,23,12
Sikkim,18,0,0
Tamil Nadu,68,95,78
Telangana,68,94,56
Tripura,27,0,0
Uttar Pradesh,18,35,15
Uttarakhand,31,38,37
West Bengal,22,40,19
