Website Domain,Ticker,Technology Name,Technology ID,First Seen At,Last Seen At,Behind Firewall
statefarm.com,,Articulate Storyline,b33f5654-d61d-466d-bd96-88d80e5c2b08,2024-08-23T01:53:43Z,2024-08-23T01:53:43Z,TRUE
kiewit.com,,WinEst,e6c68d69-04ab-52d9-aa60-92945e6aab69,2024-06-18T15:14:31Z,2024-06-26T17:05:13Z,TRUE
statefarm.com,,AWS Fargate,8abd2841-8b65-4861-8f65-43b6c7ffa318,2024-06-04T19:36:37Z,2024-06-04T20:16:42Z,TRUE
bitmovin.com,,ReadMe,73fe0584-8eb4-5a57-958d-c8d9be207d30,2024-06-05T05:40:13Z,2024-08-05T05:44:32Z,FALSE
deloitte.com,,Wiz,6f75d45b-b521-56ae-8a43-b5d30e36f7b5,2024-04-10T07:25:33Z,2024-04-10T07:27:25Z,TRUE
coxenterprises.com,,Oracle 12c,24214bb7-e15b-4c9f-91ae-f82ce60524f2,2024-09-03T14:12:17Z,2024-09-03T22:19:30Z,TRUE
pave.com,,styled-components,4b12cdba-0bae-5756-aec8-b8a9b67d604f,2024-05-30T09:57:41Z,2024-08-04T20:52:58Z,FALSE
morpheusdata.com,,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-08-03T08:16:39Z,2024-08-08T12:39:48Z,FALSE
alpha-sense.com,,Outreach,99bfae07-119b-4c4b-a9dc-9aa15a899775,2024-09-03T19:15:20Z,2024-09-03T19:15:20Z,TRUE
grafana.com,,Cloudflare,fb4e21a3-5824-540f-88af-1de0a7a472a6,2024-03-27T15:52:57Z,2024-08-17T07:52:50Z,FALSE
simplelegal.com,,Ruby on Rails,791f442e-e6eb-5d38-8a0c-1b45168cca69,2024-05-17T04:34:27Z,2024-05-17T04:34:27Z,FALSE
edwardjones.com,,cdnjs,f6312a0b-936a-54f4-8c71-fe41bd860c44,2024-06-02T04:27:01Z,2024-08-02T04:31:49Z,FALSE
chime.com,,Conversocial,15d27e9f-bb5c-50c2-a0b6-0d0e6900f2ac,2024-03-21T00:42:18Z,2024-08-02T20:08:28Z,TRUE
grubmarket.com,,Module Federation,021b1f23-84da-5477-bf30-b27de55a9f0a,2024-05-30T18:02:07Z,2024-08-04T23:24:18Z,FALSE
caremessage.org,,Module Federation,021b1f23-84da-5477-bf30-b27de55a9f0a,2024-06-02T01:58:32Z,2024-08-03T06:58:15Z,FALSE
deloitte.com,,Oracle JD Edwards EnterpriseOne,a63ed835-eaf3-585c-a58c-d04ae31b4491,2024-06-26T15:35:56Z,2024-06-26T15:35:56Z,TRUE
klaviyo.com,,Tailwind CSS,3cd84a23-9a5f-5dc5-96df-59753aeb162a,2024-06-04T21:01:11Z,2024-08-30T10:52:53Z,FALSE
epicgames.com,,PWA,6b19f6b2-8b07-5646-aff7-8ffe0440cfd2,2024-05-30T03:28:39Z,2024-08-11T08:27:20Z,FALSE
wwt.com,,Teradata Analytics Platform,4b100749-ea0e-51ef-a300-8077aae4deb1,2024-06-04T12:13:28Z,2024-06-04T12:13:28Z,TRUE
coxenterprises.com,,HashiCorp,437e2441-4d9d-47e6-821e-22738295b0d9,2024-09-03T09:48:21Z,2024-09-03T22:52:59Z,TRUE
aptible.com,,core-js,ba9ea165-5f0a-5982-898c-c75361776b67,2024-05-30T09:18:38Z,2024-08-17T02:43:32Z,FALSE
pacificlife.com,,Linkedin Insight Tag,bd056346-5aa3-58bc-af5d-3d245f6092dc,2024-05-31T17:05:38Z,2024-07-31T17:09:26Z,FALSE
benchling.com,,core-js,ba9ea165-5f0a-5982-898c-c75361776b67,2024-06-01T06:59:59Z,2024-06-01T06:59:59Z,FALSE
coxenterprises.com,,Maxon Cinema 4D,8f5ec906-df6f-43cc-8af7-c21651a8c08d,2024-08-23T02:37:39Z,2024-08-24T14:03:43Z,TRUE
gigwell.com,,Hotjar,749ca4ce-2edc-5ae3-978f-ec971159199a,2024-05-27T22:56:17Z,2024-08-27T23:08:01Z,FALSE
northwesternmutual.com,,Fact Finder,068089f9-b387-560f-985f-6ee77e8a71e1,2024-08-08T08:11:33Z,2024-08-08T08:11:33Z,TRUE
alpha-sense.com,,MUI,1f014e93-0ec0-56c6-baf9-2def0ed253b4,2024-03-07T09:47:10Z,2024-03-07T09:47:10Z,TRUE
ey.com,,Planisware,617bf1ce-2927-5803-befd-a782de5751f3,2024-05-03T08:49:33Z,2024-05-03T08:49:33Z,TRUE
contentsquare.com,,Coupa,b8dc98df-bb00-52fa-b8fb-3512606df80a,2024-03-18T21:07:38Z,2024-03-18T21:07:38Z,TRUE
coxenterprises.com,,Adobe Captivate,56d51b58-0e01-4a39-b972-ad7a6a5a6cc7,2024-09-03T09:09:55Z,2024-09-03T21:28:31Z,TRUE
visier.com,,Coupa,b8dc98df-bb00-52fa-b8fb-3512606df80a,2024-08-23T03:15:36Z,2024-08-23T03:15:36Z,TRUE
coxenterprises.com,,Automox,b96efe22-2c77-441e-a81f-0409991510e3,2024-09-03T16:10:20Z,2024-09-03T16:51:52Z,TRUE
grubmarket.com,,Amazon ALB,db16c508-aff5-5559-a4b3-ca97bdb7ac9c,2024-05-30T18:02:07Z,2024-08-04T23:24:18Z,FALSE
trala.com,,Figma,9e272524-73d2-5048-a830-24b72a800196,2024-05-21T22:07:45Z,2024-09-02T13:27:42Z,TRUE
pilotflyingj.com,,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-08-02T04:27:12Z,2024-08-02T04:27:12Z,FALSE
klaviyo.com,,Nuxt.js,8837acc8-56de-556f-9b99-aef911c5f63e,2024-08-30T10:52:53Z,2024-08-30T10:52:53Z,FALSE
wwt.com,,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-06-14T03:51:34Z,2024-08-29T11:50:44Z,FALSE
unbabel.com,,Microsoft Outlook,6c34433f-c433-5894-9142-262b27410d38,2024-07-02T19:11:55Z,2024-07-02T19:11:55Z,TRUE
