Country,Military Expenditure (Million USD),Continent
United States,12394,North America
Russia,6148,Europe
Germany (FRG),1653,Europe
France,2162,Europe
United Kingdom,1214,Europe
China,1131,Asia
Spain,814,Europe
Netherlands,1167,Europe
Italy,660,Europe
Israel,1263,Asia
Canada,900,North America
India,2000,Asia
Japan,4500,Asia
South Korea,3800,Asia
Australia,1200,Oceania
Brazil,1600,South America
Mexico,750,North America
Saudi Arabia,5000,Asia
Turkey,1400,Asia
Sweden,700,Europe
Norway,600,Europe
Argentina,400,South America
South Africa,550,Africa
Nigeria,300,Africa
Egypt,400,Africa
