Country,InternetUsers
United States,280000000
China,900000000
Germany,72000000
France,58000000
United Kingdom,67000000
Russia,124000000
Netherlands,17000000
Italy,54000000
Israel,9000000
Ukraine,32000000
Spain,42000000
Sweden,9500000
Switzerland,8200000
Canada,37000000
South Korea,49000000
Belarus,6200000
Norway,5300000
Turkey,69000000
South Africa,32000000
Czech Republic,7300000
Poland,29000000
Belgium,12000000
Australia,22000000
Brazil,140000000
Finland,4700000
Japan,120000000
Denmark,5700000
Austria,7100000
Jordan,6400000
UAE,9200000
Indonesia,171000000
Iran,70000000
Portugal,8300000
India,560000000
Ireland,4100000
Hungary,7200000
