date,oil,coal
2013-04-28,135.98,13560.077218046283
2013-04-29,147.49,13434.652724581087
2013-04-30,146.93,13318.87493371515
2013-05-01,139.89,12411.773428457327
2013-05-02,125.6,12320.414095410859
2013-05-03,108.13,12255.540474176152
2013-05-04,115.0,12139.200156473436
2013-05-05,118.8,11940.24670618757
2013-05-06,124.66,11612.843451558687
2013-05-07,113.44,11478.088571449083
2013-05-08,115.78,11386.24604592199
2013-05-09,113.46,11133.477604232789
2013-05-10,122.0,11149.8406785457
2013-05-11,118.68,11050.232470402878
2013-05-12,117.45,11038.450018717442
2013-05-13,118.7,10983.66475658147
2013-05-14,119.8,10914.934063980409
2013-05-15,115.81,10911.083462813594
2013-05-16,118.76,10854.631589088096
2013-05-17,125.3,10643.748388733959
2013-05-18,125.25,10519.520111974509
2013-05-19,124.5,10522.794876334227
2013-05-20,123.62,10456.383831999688
2013-05-21,123.0,10365.251717328174
2013-05-22,124.0,10255.133683926275
2013-05-23,126.93,10263.892568525886
2013-05-24,133.85,10257.10205124173
2013-05-25,133.22,10198.89751518162
2013-05-26,136.0,10132.203712012863
2013-05-27,135.47,10135.091916911579
2013-05-28,130.58,10062.870412239432
2013-05-29,132.59,10067.882274845839
2013-05-30,132.25,9964.777824024239
2013-05-31,129.9,9953.125702404212
2013-06-01,129.78,9777.697321385389
2013-06-02,129.4,9773.11861750625
2013-06-03,122.5,9799.868938766247
2013-06-04,123.84,9703.998728413984
2013-06-05,123.47,9707.806916220115
2013-06-06,123.1,9616.460751357525
2013-06-07,119.0,9589.798670278278
2013-06-08,111.42,9559.093863479926
2013-06-09,108.99,9533.47551825715
2013-06-10,110.1,9412.349928964171
2013-06-11,109.6,9438.956000430057
2013-06-12,111.79,9328.049960642848
2013-06-13,110.3,9385.17940478005
2013-06-14,104.7,9359.050625312482
2013-06-15,103.7,9269.078686843657
2013-06-16,101.6,9270.583460491463
2013-06-17,102.21,9246.764148220684
2013-06-18,111.11,9147.15974045872
2013-06-19,110.22,9158.193476403232
2013-06-20,114.3,9103.016338891923
2013-06-21,114.99,9128.054861909839
2013-06-22,109.96,8972.527513687584
2013-06-23,108.8,8962.826042689867
2013-06-24,108.33,9008.003497700645
2013-06-25,106.47,9075.7446939226
2013-06-26,105.49,8952.234768452474
2013-06-27,104.0,8970.61858169319
2013-06-28,101.74,8965.328189101136
2013-06-29,99.99,8869.736691009843
2013-06-30,98.12,8899.992404919049
2013-07-01,97.66,8897.959425696527
2013-07-02,92.3,8845.470146554066
2013-07-03,90.98,8865.47860528442
2013-07-04,83.11,8767.923177447592
2013-07-05,80.0,8884.251779632252
2013-07-06,75.0,8833.4867874188
2013-07-07,74.56,8830.106944108968
2013-07-08,80.0,8833.314549664108
2013-07-09,78.3,8713.52331138504
2013-07-10,87.0,8698.844970328699
2013-07-11,90.28,8761.61264747004
2013-07-12,104.0,8708.517682270309
2013-07-13,98.25,8668.43602385802
2013-07-14,98.7,8634.298568739474
2013-07-15,101.9,8585.267056457515
2013-07-16,99.86,8607.841274935923
2013-07-17,99.97,8619.78862753157
2013-07-18,98.8,8601.559362299566
2013-07-19,95.2,8528.903111959336
2013-07-20,93.1,8527.482503554194
2013-07-21,91.95,8556.122706016617
2013-07-22,92.0,8486.866248568916
2013-07-23,96.82,8556.21358865165
2013-07-24,95.99,8448.22685773369
2013-07-25,97.33,8408.556319159634
2013-07-26,97.47,8464.834505479566
2013-07-27,97.0,8402.39746686063
2013-07-28,100.58,8327.09625266243
2013-07-29,102.5,8341.087188187643
2013-07-30,107.99,8362.532146089767
2013-07-31,111.34,8338.429837364643
2013-08-01,108.0,8307.893446048969
2013-08-02,108.0,8298.873237947497
2013-08-03,105.78,8233.388233783186
2013-08-04,105.95,8255.594729651222
2013-08-05,107.77,8231.185663534097
2013-08-06,107.38,8299.306674820526
2013-08-07,106.75,8186.833098386347
2013-08-08,106.75,8194.437201485076
2013-08-09,105.75,8212.110274656176
2013-08-10,103.9,8153.521606635588
2013-08-11,105.19,8148.331865101604
2013-08-12,108.0,8146.931527528697
2013-08-13,109.35,8119.547694113614
2013-08-14,115.0,8165.864622527265
2013-08-15,113.25,8094.629616270856
2013-08-16,112.3,8126.758254177366
2013-08-17,113.75,8134.19724622526
