Index,Champion,Games,Win,Loss,Winrate,%T,Games(B),Win(B),Loss(B),Winrate(B),Games(R),Win®,Loss®,Winrate®,Bans,Bans(%),Picks and Bans,Picks and Bans(%)
1, Skarner,45,26,19,57.78%,65.22%,27,16,11,59.26%,18,10,8,55.56%,23,33.33%,68,98.55%
2, Corki,36,19,17,52.78%,52.17%,10,5,5,50.00%,26,14,12,53.85%,23,33.33%,59,85.51%
3, Tristana,36,17,19,47.22%,52.17%,20,8,12,40.00%,16,9,7,56.25%,30,43.48%,66,95.65%
4, Zeri,33,21,12,63.64%,47.83%,15,8,7,53.33%,18,13,5,72.22%,13,18.84%,46,66.67%
5, Leona,33,13,20,39.39%,47.83%,16,7,9,43.75%,17,6,11,35.29%,21,30.43%,54,78.26%
6, Taliyah,30,15,15,50.00%,43.48%,15,7,8,46.67%,15,8,7,53.33%,21,30.43%,51,73.91%
7, K'Sante,30,13,17,43.33%,43.48%,10,4,6,40.00%,20,9,11,45.00%,18,26.09%,48,69.57%
8, Rell,25,7,18,28.00%,36.23%,14,3,11,21.43%,11,4,7,36.36%,7,10.14%,32,46.38%
9, Nautilus,22,13,9,59.09%,31.88%,11,7,4,63.64%,11,6,5,54.55%,28,40.58%,50,72.46%
10, Nidalee,22,10,12,45.45%,31.88%,11,6,5,54.55%,11,4,7,36.36%,20,28.99%,42,60.87%
11, Sejuani,22,9,13,40.91%,31.88%,11,3,8,27.27%,11,6,5,54.55%,23,33.33%,45,65.22%
12, Kai'Sa,22,8,14,36.36%,31.88%,12,4,8,33.33%,10,4,6,40.00%,13,18.84%,35,50.72%
13, Alistar,21,15,6,71.43%,30.43%,7,4,3,57.14%,14,11,3,78.57%,22,31.88%,43,62.32%
14, Ezreal,20,11,9,55.00%,28.99%,10,5,5,50.00%,10,6,4,60.00%,7,10.14%,27,39.13%
15, Azir,19,9,10,47.37%,27.54%,8,6,2,75.00%,11,3,8,27.27%,5,7.25%,24,34.78%
16, Vi,18,11,7,61.11%,26.09%,11,6,5,54.55%,7,5,2,71.43%,22,31.88%,40,57.97%
17, Viego,17,8,9,47.06%,24.64%,6,4,2,66.67%,11,4,7,36.36%,6,8.70%,23,33.33%
18, Rumble,14,8,6,57.14%,20.29%,8,4,4,50.00%,6,4,2,66.67%,53,76.81%,67,97.10%
19, Yone,13,4,9,30.77%,18.84%,9,1,8,11.11%,4,3,1,75.00%,10,14.49%,23,33.33%
20, Ashe,12,8,4,66.67%,17.39%,6,3,3,50.00%,6,5,1,83.33%,44,63.77%,56,81.16%
21, Rakan,11,5,6,45.45%,15.94%,6,4,2,66.67%,5,1,4,20.00%,9,13.04%,20,28.99%
22, Xin Zhao,11,5,6,45.45%,15.94%,6,3,3,50.00%,5,2,3,40.00%,4,5.80%,15,21.74%
23, Renekton,10,6,4,60.00%,14.49%,6,3,3,50.00%,4,3,1,75.00%,11,15.94%,21,30.43%
24, Maokai,10,5,5,50.00%,14.49%,4,1,3,25.00%,6,4,2,66.67%,33,47.83%,43,62.32%
25, Zyra,10,4,6,40.00%,14.49%,5,2,3,40.00%,5,2,3,40.00%,4,5.80%,14,20.29%
